asset,source,t,p_bull
SPX,p_sign_oracle,21,1.0
SPX,p_sign_oracle,22,1.0
SPX,p_sign_oracle,23,1.0
SPX,p_sign_oracle,24,0.0
SPX,p_sign_oracle,25,1.0
SPX,p_sign_oracle,26,1.0
SPX,p_sign_oracle,27,1.0
SPX,p_sign_oracle,28,0.0
SPX,p_sign_oracle,29,1.0
SPX,p_sign_oracle,30,0.0
SPX,p_sign_oracle,31,1.0
SPX,p_sign_oracle,32,1.0
SPX,p_sign_oracle,33,0.0
SPX,p_sign_oracle,34,1.0
SPX,p_sign_oracle,35,1.0
SPX,p_sign_oracle,36,0.0
SPX,p_sign_oracle,37,0.0
SPX,p_sign_oracle,38,1.0
SPX,p_sign_oracle,39,0.0
SPX,p_sign_oracle,40,1.0
SPX,p_sign_oracle,41,1.0
SPX,p_sign_oracle,42,1.0
SPX,p_sign_oracle,43,1.0
SPX,p_sign_oracle,44,1.0
SPX,p_sign_oracle,45,0.0
SPX,p_sign_oracle,46,1.0
SPX,p_sign_oracle,47,0.0
SPX,p_sign_oracle,48,0.0
SPX,p_sign_oracle,49,1.0
SPX,p_sign_oracle,50,0.0
SPX,p_sign_oracle,51,1.0
SPX,p_sign_oracle,52,1.0
SPX,p_sign_oracle,53,0.0
SPX,p_sign_oracle,54,0.0
SPX,p_sign_oracle,55,0.0
SPX,p_sign_oracle,56,1.0
SPX,p_sign_oracle,57,1.0
SPX,p_sign_oracle,58,0.0
SPX,p_sign_oracle,59,0.0
SPX,p_sign_oracle,60,1.0
SPX,p_sign_oracle,61,0.0
SPX,p_sign_oracle,62,0.0
SPX,p_sign_oracle,63,1.0
SPX,p_sign_oracle,64,1.0
SPX,p_sign_oracle,65,1.0
SPX,p_sign_oracle,66,0.0
SPX,p_sign_oracle,67,0.0
SPX,p_sign_oracle,68,0.0
SPX,p_sign_oracle,69,0.0
SPX,p_sign_oracle,70,0.0
SPX,p_sign_oracle,71,0.0
SPX,p_sign_oracle,72,0.0
SPX,p_sign_oracle,73,1.0
SPX,p_sign_oracle,74,0.0
SPX,p_sign_oracle,75,0.0
SPX,p_sign_oracle,76,0.0
SPX,p_sign_oracle,77,1.0
SPX,p_sign_oracle,78,0.0
SPX,p_sign_oracle,79,1.0
