t,OPT,RG_g*,NaiveRB,NaiveBH
136,12367.833104431667,11437.7504684777,9299.674573065531,9413.962253834727
137,12357.320473755683,11401.98703572912,9333.983846801371,9448.853391587436
138,11896.196506941777,11158.443448220798,8685.866465416106,8793.976867039322
139,11971.32422834971,11249.996026203478,8707.686735342075,8816.193253487096
140,12197.064136183133,11527.581790177164,8769.919981340854,8879.584592323441
141,12076.600323228218,11377.840348071975,8737.854498130751,8847.326615426835
142,12085.830843400032,11359.52296923375,8785.982486436023,8896.214535830844
143,11784.290378155387,11022.069474768168,8650.26662180713,8759.118861264908
144,11755.256999513327,10940.095404921187,8714.912671633501,8824.9032774876
145,11849.811077720133,10992.145929425622,8842.226046109916,8954.038197458367
146,11800.01957294581,11041.224107233511,8650.800121442126,8760.78757852134
147,11707.302134242178,10773.648918827328,8893.599232596069,9007.790467542007
148,11677.433881759629,10497.780793480273,9318.797753941755,9440.029761532114
149,12288.700290232835,11094.858609963101,9713.726832101074,9840.424050173078
150,12575.424185163274,11238.77036684341,10160.233253410635,10293.532156812427
151,12758.492519446743,11487.437888810398,10138.96181543564,10272.604613335652
152,12957.601649779637,11602.194274198244,10421.578115642982,10559.394028126437
153,13072.750808816554,11691.651389999133,10540.966707309426,10680.459423587406
154,13373.028743727242,11716.41050449564,11263.296247114313,11414.010940814913
155,13547.47847767991,12005.000703352376,11123.085808521744,11272.992941526163
156,13707.216417968586,12094.818424478695,11358.941414616223,11512.406821027014
157,13677.409244715604,12133.422954542884,11200.117696577776,11351.937316433065
158,13544.82105311521,11947.350488634887,11229.559873017808,11382.28832147171
159,13800.868742237335,12165.584899495168,11457.475687928609,11613.360668888881
160,13859.06644687563,12307.119029075951,11318.808861112762,11473.503004498249
161,13947.085230381539,12436.531019874703,11286.988656274709,11441.630272878176
162,14156.59090281078,12607.343525505112,11488.260429369087,11645.775078188235
163,14522.315835130237,12779.059849027026,12091.594389139935,12258.459730122508
