policy,asset,t,w,u,v
g_worst,SPX,76,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,77,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,78,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,79,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,80,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,81,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,82,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,83,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,84,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,85,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,86,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,87,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,88,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,89,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,90,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,91,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,92,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,93,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,94,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,95,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,96,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,97,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,98,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,99,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,100,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,101,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,102,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,103,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,104,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,105,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,106,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,107,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,108,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,109,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,110,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,111,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,112,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,113,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,114,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,115,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,116,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,117,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,118,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,119,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,120,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,121,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,122,0.9999998069684662,1.0276319670840398e-06,1.0276319671179753e-06
g_worst,SPX,123,0.9999998069684662,1.0276319670997607e-06,1.0276319671024712e-06
g_worst,SPX,124,0.9999998069684662,1.0276319671020375e-06,1.027631967100086e-06
g_worst,SPX,125,0.9999998069684662,1.0276319671147227e-06,1.0276319670878345e-06
g_worst,SPX,126,0.9999998069684661,1.0276319670576937e-06,1.0276319671445383e-06
g_worst,SPX,127,0.9999998069684662,1.0276319671484414e-06,1.0276319670537905e-06
g_worst,SPX,128,0.9999998069684662,1.0276319670839314e-06,1.0276319671180837e-06
g_worst,SPX,129,0.9999998069684662,1.0276319670998691e-06,1.0276319671024712e-06
g_worst,SPX,130,0.9999998069684662,1.027631967102146e-06,1.0276319670999776e-06
g_worst,SPX,131,0.9999998069684662,1.0276319671148311e-06,1.0276319670872924e-06
g_worst,SPX,132,0.9999998069684661,1.0276319670584526e-06,1.027631967143671e-06
g_worst,SPX,133,0.9999998069684662,1.027631967150935e-06,1.0276319670514053e-06
g_worst,SPX,134,0.9999998069684661,1.0276319670502127e-06,1.0276319671521277e-06
g_worst,SPX,135,0.9999998069684662,1.027631967134672e-06,1.02763196706756e-06
g_worst,SPX,136,0.9999998069684662,1.0276319671124459e-06,1.027631967089786e-06
g_worst,SPX,137,0.9999998069684662,1.0276319670665841e-06,1.0276319671356478e-06
g_worst,SPX,138,0.9999998069684662,1.02763196713619e-06,1.0276319670661505e-06
g_worst,SPX,139,0.9999998069684662,1.0276319671024712e-06,1.0276319670997607e-06
g_worst,SPX,140,0.9999998069684661,1.02763196705726e-06,1.027631967144972e-06
g_worst,SPX,141,0.9999998069684661,1.027631967104748e-06,1.0276319670973755e-06
g_worst,SPX,142,0.9999998069684662,1.0276319671461646e-06,1.0276319670560674e-06
g_worst,SPX,143,0.9999998069684661,1.0276319670515137e-06,1.0276319671507182e-06
g_worst,SPX,144,0.9999998069684662,1.0276319671482246e-06,1.0276319670542242e-06
g_worst,SPX,145,0.9999998069684661,1.0276319670535737e-06,1.0276319671486582e-06
g_worst,SPX,146,0.9999998069684662,1.0276319671451888e-06,1.0276319670569347e-06
g_worst,SPX,147,0.9999998069684662,1.0276319670978092e-06,1.0276319671044228e-06
g_worst,SPX,148,0.9999998069684662,1.0276319671003028e-06,1.0276319671020375e-06
g_worst,SPX,149,0.9999998069684662,1.0276319671043144e-06,1.0276319670981344e-06
g_worst,SPX,150,0.9999998069684661,1.0276319670607294e-06,1.027631967141611e-06
g_worst,SPX,151,0.9999998069684662,1.0276319671091933e-06,1.0276319670929302e-06
g_worst,SPX,152,0.9999998069684661,1.0276319670857745e-06,1.027631967116349e-06
g_worst,SPX,153,0.9999998069684661,1.027631967104206e-06,1.0276319670982428e-06
g_worst,SPX,154,0.9999998069684661,1.0276319670962913e-06,1.0276319671061575e-06
g_worst,SPX,155,0.9999998069684662,1.02763196711765e-06,1.027631967084365e-06
g_worst,SPX,156,0.9999998069684662,1.0276319671411772e-06,1.0276319670611631e-06
g_worst,SPX,157,0.9999998069684661,1.0276319670514053e-06,1.0276319671508266e-06
g_worst,SPX,158,0.9999998069684662,1.0276319671486582e-06,1.0276319670535737e-06
g_worst,SPX,159,0.9999998069684661,1.0276319670543326e-06,1.0276319671481161e-06
g_worst,SPX,160,0.9999998069684662,1.0276319671495256e-06,1.0276319670527063e-06
g_worst,SPX,161,0.9999998069684661,1.0276319670530316e-06,1.0276319671492003e-06
g_worst,SPX,162,0.9999998069684662,1.0276319671523445e-06,1.0276319670498874e-06
