policy,t,turnover,cost_t,cost_acum
g_mean,97,1.7414997395548415e-18,1.3491856153933796e-09,0.002500129651997588
g_mean,98,9.486769009248164e-20,1.3491856153932712e-09,0.0025001310011832033
g_mean,99,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001323503688186
g_mean,100,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001336995544338
g_mean,101,9.486769009248164e-20,1.3491856153932712e-09,0.002500135048740049
g_mean,102,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001363979256642
g_mean,103,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001377471112795
g_mean,104,9.486769009248164e-20,1.3491856153932712e-09,0.0025001390962968947
g_mean,105,1.6466320494623599e-18,1.3491856153932712e-09,0.00250014044548251
g_mean,106,1.7414997395548415e-18,1.3491856153933796e-09,0.002500141794668125
g_mean,107,9.486769009248164e-20,1.3491856153932712e-09,0.0025001431438537404
g_mean,108,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001444930393556
g_mean,109,1.7414997395548415e-18,1.3491856153933796e-09,0.002500145842224971
g_mean,110,9.486769009248164e-20,1.3491856153932712e-09,0.002500147191410586
g_mean,111,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001485405962013
g_mean,112,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001498897818165
g_mean,113,9.486769009248164e-20,1.3491856153932712e-09,0.0025001512389674317
g_mean,114,1.6466320494623599e-18,1.3491856153932712e-09,0.002500152588153047
g_mean,115,1.7414997395548415e-18,1.3491856153933796e-09,0.002500153937338662
g_mean,116,9.486769009248164e-20,1.3491856153932712e-09,0.0025001552865242774
g_mean,117,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001566357098926
g_mean,118,1.7414997395548415e-18,1.3491856153933796e-09,0.002500157984895508
g_mean,119,9.486769009248164e-20,1.3491856153932712e-09,0.002500159334081123
g_mean,120,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001606832667383
g_mean,121,1.7414997395548415e-18,1.3491856153933796e-09,0.0025001620324523535
g_mean,122,9.486769009248164e-20,1.3491856153932712e-09,0.0025001633816379687
g_mean,123,1.6466320494623599e-18,1.3491856153933798e-09,0.002500164730823584
g_mean,124,1.748276003132876e-18,1.3491856153933796e-09,0.002500166080009199
g_mean,125,1.0164395367051604e-19,1.3491856153932712e-09,0.0025001674291948144
g_mean,126,1.5856456772600502e-18,1.3491856153933798e-09,0.0025001687783804297
g_mean,127,1.6872896309305663e-18,1.3491856153932712e-09,0.002500170127566045
g_mean,128,1.0164395367051604e-19,1.349185615392946e-09,0.00250017147675166
g_mean,129,1.6466320494623599e-18,1.3491856153932712e-09,0.0025001728259372753
g_mean,130,1.6872896309305663e-18,1.3491856153932712e-09,0.0025001741751228906
g_mean,131,1.4230153513872246e-19,1.3491856153931629e-09,0.0025001755243085058
g_mean,132,2.5275463146068322e-18,1.3491856153931629e-09,0.002500176873494121
g_mean,133,3.516880796999855e-18,1.3491856153932712e-09,0.0025001782226797362
g_mean,134,1.0652286344670081e-17,1.3491856153933798e-09,0.0025001795718653515
g_mean,135,4.411347589300396e-18,1.3491856153933796e-09,0.0025001809210509667
g_mean,136,1.0299920638612292e-18,1.3491856153931626e-09,0.002500182270236582
g_mean,137,4.777265822514254e-18,1.3491856153932712e-09,0.002500183619422197
g_mean,138,1.1519648082658485e-18,1.3491856153932712e-09,0.0025001849686078124
g_mean,139,2.3445871979999033e-18,1.3491856153930543e-09,0.0025001863177934276
g_mean,140,2.2632720350634905e-18,1.3491856153934881e-09,0.002500187666979043
g_mean,141,5.624298769768554e-19,1.3491856153931629e-09,0.002500189016164658
g_mean,142,3.9979955110402976e-19,1.3491856153931626e-09,0.0025001903653502733
g_mean,143,5.353248226647178e-19,1.3491856153932712e-09,0.0025001917145358885
g_mean,144,6.112189747387031e-18,1.3491856153932712e-09,0.0025001930637215037
g_mean,145,4.363913744254155e-18,1.3491856153933796e-09,0.002500194412907119
g_mean,146,1.0930113151369492e-17,1.3491856153932712e-09,0.002500195762092734
g_mean,147,7.77237432400546e-18,1.3491856153933798e-09,0.0025001971112783494
g_mean,148,4.851804721872632e-18,1.3491856153931629e-09,0.0025001984604639646
g_mean,149,4.330032426363983e-18,1.3491856153931629e-09,0.00250019980964958
g_mean,150,8.131516293641283e-19,1.3491856153931626e-09,0.002500201158835195
