t,OPT,RG,NaiveRB,NaiveBH
151,12758.492519446743,6988.9518113848935,10138.96181543564,10272.604613335652
152,12957.601649779637,7260.397521089468,10421.578115642982,10559.394028126437
153,13072.750808816554,7361.137203459797,10540.966707309426,10680.459423587406
154,13373.028743727242,8181.21494382493,11263.296247114313,11414.010940814913
155,13547.47847767991,7885.916074578988,11123.085808521744,11272.992941526163
156,13707.216417968586,8123.343792886781,11358.941414616223,11512.406821027014
157,13677.409244715604,7920.291599789166,11200.117696577776,11351.937316433065
158,13544.82105311521,8033.535784024934,11229.559873017808,11382.28832147171
159,13800.868742237335,8207.175609330568,11457.475687928609,11613.360668888881
160,13859.06644687563,7959.781203260234,11318.808861112762,11473.503004498249
161,13947.085230381539,7857.926638234804,11286.988656274709,11441.630272878176
162,14156.59090281078,8022.453671588615,11488.260429369087,11645.775078188235
163,14522.315835130237,8680.257346134165,12091.594389139935,12258.459730122508
