asset,setup,t_orig,p_bull
SPX,padded,68,0.6000000238418579
SPX,padded,69,0.6000000238418579
SPX,padded,70,0.6000000238418579
SPX,padded,71,0.6000000238418579
SPX,padded,72,0.4000000059604645
SPX,padded,73,0.4000000059604645
SPX,padded,74,0.4000000059604645
SPX,padded,75,0.4000000059604645
SPX,padded,76,0.4000000059604645
SPX,padded,77,0.6000000238418579
SPX,padded,78,0.4000000059604645
SPX,padded,79,0.4000000059604645
SPX,padded,80,0.4000000059604645
SPX,padded,81,0.4000000059604645
SPX,padded,82,0.6000000238418579
SPX,padded,83,0.6000000238418579
SPX,padded,84,0.4000000059604645
SPX,padded,85,0.6000000238418579
SPX,padded,86,0.4000000059604645
SPX,padded,87,0.6000000238418579
SPX,padded,88,0.6000000238418579
SPX,padded,89,0.6000000238418579
SPX,padded,90,0.6000000238418579
SPX,padded,91,0.6000000238418579
SPX,padded,92,0.6000000238418579
SPX,padded,93,0.6000000238418579
SPX,padded,94,0.6000000238418579
SPX,padded,95,0.6000000238418579
SPX,padded,96,0.4000000059604645
SPX,padded,97,0.4000000059604645
SPX,padded,98,0.4000000059604645
SPX,padded,99,0.4000000059604645
SPX,padded,100,0.4000000059604645
SPX,padded,101,0.4000000059604645
SPX,padded,102,0.4000000059604645
SPX,padded,103,0.6000000238418579
SPX,padded,104,0.6000000238418579
SPX,padded,105,0.6000000238418579
SPX,padded,106,0.6000000238418579
SPX,padded,107,0.6000000238418579
SPX,padded,108,0.6000000238418579
SPX,padded,109,0.6000000238418579
SPX,padded,110,0.6000000238418579
SPX,padded,111,0.6000000238418579
SPX,padded,112,0.6000000238418579
SPX,padded,113,0.6000000238418579
SPX,padded,114,0.6000000238418579
SPX,padded,115,0.6000000238418579
SPX,padded,116,0.6000000238418579
SPX,padded,117,0.6000000238418579
SPX,padded,118,0.6000000238418579
SPX,padded,119,0.6000000238418579
SPX,padded,120,0.6000000238418579
SPX,padded,121,0.6000000238418579
SPX,padded,122,0.6000000238418579
SPX,padded,123,0.6000000238418579
SPX,padded,124,0.6000000238418579
SPX,padded,125,0.4000000059604645
SPX,padded,126,0.4000000059604645
SPX,padded,127,0.4000000059604645
SPX,padded,128,0.4000000059604645
SPX,padded,129,0.4000000059604645
SPX,padded,130,0.4000000059604645
SPX,padded,131,0.6000000238418579
SPX,padded,132,0.6000000238418579
SPX,padded,133,0.6000000238418579
SPX,padded,134,0.6000000238418579
SPX,padded,135,0.4000000059604645
SPX,padded,136,0.4000000059604645
SPX,padded,137,0.6000000238418579
SPX,padded,138,0.6000000238418579
SPX,padded,139,0.4000000059604645
SPX,padded,140,0.4000000059604645
SPX,padded,141,0.4000000059604645
SPX,padded,142,0.4000000059604645
SPX,padded,143,0.6000000238418579
SPX,padded,144,0.6000000238418579
SPX,padded,145,0.6000000238418579
SPX,padded,146,0.6000000238418579
SPX,padded,147,0.6000000238418579
SPX,padded,148,0.6000000238418579
SPX,padded,149,0.6000000238418579
SPX,padded,150,0.6000000238418579
SPX,padded,151,0.6000000238418579
SPX,padded,152,0.6000000238418579
SPX,padded,153,0.6000000238418579
SPX,padded,154,0.6000000238418579
SPX,padded,155,0.6000000238418579
SPX,padded,156,0.6000000238418579
SPX,padded,157,0.6000000238418579
SPX,padded,158,0.6000000238418579
SPX,padded,159,0.6000000238418579
SPX,padded,160,0.6000000238418579
SPX,padded,161,0.4000000059604645
SPX,padded,162,0.4000000059604645
SPX,padded,163,0.4000000059604645
SPX,nopad,61,0.6000000238418579
SPX,nopad,62,0.6000000238418579
SPX,nopad,63,0.6000000238418579
SPX,nopad,64,0.6000000238418579
SPX,nopad,65,0.4000000059604645
SPX,nopad,66,0.6000000238418579
SPX,nopad,67,0.6000000238418579
SPX,nopad,68,0.6000000238418579
SPX,nopad,69,0.6000000238418579
SPX,nopad,70,0.6000000238418579
SPX,nopad,71,0.6000000238418579
SPX,nopad,72,0.4000000059604645
SPX,nopad,73,0.4000000059604645
