asset,setup,t,w
SPX,scenarios,110,1.3439134293240717e-08
SPX,scenarios,111,1.3620113832162197e-08
SPX,scenarios,112,1.3716090568777645e-08
SPX,scenarios,113,1.3619638286005382e-08
SPX,scenarios,114,1.3552694017517373e-08
SPX,scenarios,115,1.3347453515965483e-08
SPX,scenarios,116,1.3468677904416616e-08
SPX,scenarios,117,1.3658058667722505e-08
SPX,scenarios,118,1.3778120421487847e-08
SPX,scenarios,119,1.3790751313815322e-08
SPX,scenarios,120,1.3722665606411135e-08
SPX,scenarios,121,1.3798260803380064e-08
SPX,scenarios,122,1.3873306739225485e-08
SPX,scenarios,123,1.3708159585657241e-08
SPX,scenarios,124,1.380316488862885e-08
SPX,scenarios,125,1.3617053834319925e-08
SPX,scenarios,126,1.3572254389539976e-08
SPX,scenarios,127,1.3649976194189277e-08
SPX,scenarios,128,1.3466029078183122e-08
SPX,scenarios,129,1.3420272149368759e-08
SPX,scenarios,130,1.3372018200897244e-08
SPX,scenarios,131,1.3794453364169825e-08
SPX,scenarios,132,1.3974495774847647e-08
SPX,scenarios,133,1.407517827896687e-08
SPX,scenarios,134,1.388519806471149e-08
SPX,scenarios,135,1.3482292081300434e-08
SPX,scenarios,136,1.3206326502173234e-08
SPX,scenarios,137,1.3143509411234596e-08
SPX,scenarios,138,1.3365886217619571e-08
SPX,scenarios,139,1.3680513254770896e-08
SPX,scenarios,140,1.371940569060582e-08
SPX,scenarios,141,1.3795216559642492e-08
SPX,scenarios,142,1.388743770330082e-08
SPX,scenarios,143,1.363954175983973e-08
SPX,scenarios,144,1.354863655375773e-08
SPX,scenarios,145,1.3627822063727037e-08
SPX,scenarios,146,1.3764351999362234e-08
SPX,scenarios,147,1.3720905070016055e-08
SPX,scenarios,148,1.3803974305696726e-08
SPX,scenarios,149,1.3816518466044908e-08
SPX,scenarios,150,1.3653013450359044e-08
SPX,scenarios,151,1.3632623197989328e-08
SPX,scenarios,152,1.3531876395012933e-08
SPX,scenarios,153,1.3364343938575702e-08
SPX,scenarios,154,1.342187184865415e-08
SPX,scenarios,155,1.3392484936188248e-08
SPX,scenarios,156,1.3138815136843056e-08
SPX,scenarios,157,1.3108341292319124e-08
SPX,scenarios,158,1.341635507954813e-08
SPX,scenarios,159,1.3593521686525146e-08
SPX,scenarios,160,1.3684101657247805e-08
SPX,scenarios,161,1.369713455514238e-08
SPX,scenarios,162,1.3799863697555148e-08
SPX,scenarios,163,1.395701757149782e-08
CMC200,rollout,1,0.9999999179168215
CMC200,rollout,2,0.9999999708623475
CMC200,rollout,3,0.9999999740397916
CMC200,rollout,4,0.9999999740894039
CMC200,rollout,5,0.9999999740320455
CMC200,rollout,6,0.9999999740072304
CMC200,rollout,7,0.9999999739735257
CMC200,rollout,8,0.9999999736788149
