setup,t,RG_cap
scenarios,13,17489.99089715059
scenarios,14,19114.266689164753
scenarios,15,19520.827218017595
scenarios,16,21910.17649771224
scenarios,17,17949.053071426733
scenarios,18,20451.33750720356
scenarios,19,22427.892233204708
scenarios,20,21364.442668645846
scenarios,21,12621.70984381484
scenarios,22,12195.388679321102
scenarios,23,13360.052758408201
scenarios,24,12369.837364330597
scenarios,25,11866.044073499363
scenarios,26,10252.957490877352
scenarios,27,10828.054974822819
scenarios,28,11100.990443632967
scenarios,29,10063.789573065826
scenarios,30,10461.56969835723
scenarios,31,12395.569993951112
scenarios,32,13465.878002799416
scenarios,33,15187.676284134688
scenarios,34,15777.387438691254
scenarios,35,15800.971037284575
scenarios,36,16727.093842024882
scenarios,37,14398.008236383825
scenarios,38,15103.282175017954
scenarios,39,13470.162815372127
scenarios,40,14873.541035330538
scenarios,41,16312.66566937907
scenarios,42,17900.98742844143
scenarios,43,17913.842792235882
scenarios,44,18850.859236528486
scenarios,45,18807.921281154642
scenarios,46,19576.556399159545
scenarios,47,17785.53500126397
scenarios,48,16796.85250156306
scenarios,49,16815.770808978497
scenarios,50,15144.35024789445
scenarios,51,14523.658586655547
scenarios,52,15698.189138500744
scenarios,53,14138.154865055345
scenarios,54,12507.098644377345
scenarios,55,12489.575772666549
scenarios,56,10084.204474316643
scenarios,57,10144.8471281302
scenarios,58,11082.895113774099
scenarios,59,11418.833892866247
scenarios,60,10765.964000297177
scenarios,61,10416.685051854454
scenarios,62,10382.611802054698
scenarios,63,10201.390318838023
scenarios,64,11086.015444088032
scenarios,65,11845.948291364237
scenarios,66,12605.65551436739
scenarios,67,11620.302418142483
scenarios,68,10822.316480014373
scenarios,69,10691.793928915682
scenarios,70,10272.094871454827
scenarios,71,9635.981423965306
scenarios,72,7525.366724866346
scenarios,73,7273.551744280208
scenarios,74,6993.686190642089
scenarios,75,7167.895804337393
scenarios,76,7013.5423109990725
scenarios,77,4487.510511713282
scenarios,78,4728.034833225404
scenarios,79,4285.54688479263
scenarios,80,4778.27948318307
scenarios,81,4638.871813598729
scenarios,82,5130.597299914347
scenarios,83,5531.441705869018
scenarios,84,5347.400542301313
scenarios,85,5745.338568926439
scenarios,86,5004.242615807686
scenarios,87,4802.460258500944
scenarios,88,4682.550676940356
scenarios,89,5039.323373895916
scenarios,90,4508.976579686515
scenarios,91,4258.620962267793
scenarios,92,4344.736599079483
scenarios,93,4364.314977386364
scenarios,94,4246.976315059416
scenarios,95,4262.381883979638
scenarios,96,4730.932592265838
scenarios,97,4908.8255829731015
scenarios,98,3724.1158620005317
scenarios,99,3649.0181610613513
scenarios,100,3644.138362470577
scenarios,101,3795.7907746814917
scenarios,102,3781.5694706026634
scenarios,103,3577.4267950958797
scenarios,104,3644.5918013186542
scenarios,105,3583.787775648144
scenarios,106,3701.7871048524316
scenarios,107,4248.356427098282
scenarios,108,4745.937293901381
scenarios,109,4820.346343802353
scenarios,110,4931.663218083492
scenarios,111,4513.520236794474
scenarios,112,5096.404577204335
scenarios,113,4779.139073429043
scenarios,114,4607.114849812743
scenarios,115,4152.612689684893
scenarios,116,5192.771963409787
scenarios,117,5202.356429213563
scenarios,118,5461.199848713397
scenarios,119,5444.679849954959
scenarios,120,5956.062800821902
scenarios,121,5246.453658166722
scenarios,122,5550.026285182464
scenarios,123,5647.713028019156
scenarios,124,5029.761031632798
scenarios,125,5111.63563723233
scenarios,126,5119.7456762549
scenarios,127,5249.039655864772
scenarios,128,5055.065859572083
scenarios,129,4926.700871700864
scenarios,130,5623.250610139737
scenarios,131,5605.095941462002
scenarios,132,5540.69462175964
scenarios,133,5571.718916708595
scenarios,134,5523.580085082182
scenarios,135,5440.486672964247
scenarios,136,5348.661213133378
scenarios,137,5405.033020100509
scenarios,138,4771.264371707532
scenarios,139,4756.224654919683
scenarios,140,4707.265787703808
scenarios,141,4734.21106516332
scenarios,142,4794.152671277703
scenarios,143,4788.809748842249
scenarios,144,4896.357075288995
scenarios,145,5016.358207087507
scenarios,146,4777.429756087775
scenarios,147,5162.5979885520355
scenarios,148,5790.245613902752
scenarios,149,5952.097189925918
scenarios,150,6423.0279707820755
scenarios,151,6254.795884591564
scenarios,152,6541.553534628011
scenarios,153,6641.116010948345
scenarios,154,7539.297824433177
scenarios,155,7167.301978204532
scenarios,156,7418.114268062101
scenarios,157,7187.63724374145
scenarios,158,7336.297782425729
scenarios,159,7500.159457954384
scenarios,160,7232.256556407478
scenarios,161,7116.026232888108
scenarios,162,7272.221769145387
scenarios,163,7938.3553258402235
