t,OPT,RG,NaiveRB,NaiveBH
52,15511.700851850757,15698.188481089801,15471.397284985156,15567.404893976722
53,15327.985907174516,14138.154277952177,14766.297418361191,14860.128862477908
54,14759.553604499319,12507.098127445579,13773.219131349959,13862.661280315093
55,14719.291674816264,12489.575243058362,13742.632196782275,13831.90411748782
56,13485.962824755034,10084.204055285165,12014.741320213938,12095.440318255847
57,13585.305013009829,10144.846696199591,12096.984496486373,12178.260930833987
58,13991.794847960044,11082.894621107687,12748.168797265771,12834.933816437706
59,13863.346516639402,11418.83336678044,12823.557440150704,12911.611841656117
60,13534.789180268834,10765.963498328772,12354.229280782258,12439.752145048353
61,13541.926864628202,10416.684560468972,12203.80412095487,12288.92530034703
62,13392.899058432491,10382.611300053199,12105.574068958651,12190.157708459254
63,13031.543043731006,10201.389813131302,11823.02547198286,11905.818092590269
64,13876.345180348177,11086.014880376846,12688.418834020486,12777.645612643648
65,14255.664103053947,11845.947670299774,13235.161227330711,13329.01053378638
66,14435.267502266399,12605.65483165062,13662.62069790701,13760.526153416446
67,14073.097516708416,11620.301785644428,13040.382098429067,13135.00748989488
68,13644.709911994982,10822.31588556782,12451.31164168383,12542.472761572431
69,13304.92364524946,10691.793328090062,12202.351902877159,12291.943496856877
70,12847.076204039038,10272.09428378416,11759.67682555243,11846.113384841952
71,12675.293064670355,9635.980869530642,11382.41406621752,11466.99311444872
72,11900.434361907392,7525.3663051046515,9993.741706197863,10071.178245331026
73,11525.9300259722,7273.551330897943,9671.980485469181,9746.956874577332
74,12028.084971857963,6993.685794860518,9793.059923109453,9870.20506328107
75,11971.221293410652,7167.895388107431,9855.704132748264,9933.795517595709
76,11422.01336989539,7013.541893489144,9493.5887623704,9569.20198695223
77,10062.222722115008,4487.5102632498765,7496.122738224438,7560.375968182939
78,10673.195803516226,4728.034567212462,7931.086413613937,7999.147211016303
79,10284.543458213637,4285.546642841018,7470.628369405364,7535.494001079191
80,10676.380555824093,4778.279203799431,7970.875683318654,8040.930516934447
81,10534.89403005498,4638.871538540236,7817.205470083383,7886.113082207066
82,10968.2887990161,5130.596986070217,8329.16013106012,8403.328315617244
83,11504.532514309647,5531.441359754731,8827.80353689634,8906.773059538404
84,11462.154985602669,5347.400204427789,8696.426327735477,8774.637313635149
85,11925.357382638222,5745.3381974742715,9158.884578426048,9241.695985583703
86,11505.2372579493,5004.242294673154,8511.119881615883,8589.526726402379
87,11032.882710794176,4802.45994500281,8164.033034456631,8239.252646583911
88,10682.508738310727,4682.550365701877,7925.566602214487,7998.678848780762
89,11150.32624561312,5039.32303154454,8369.052528465967,8446.638150814513
90,10481.147408502511,4508.9762719034,7723.489416659377,7795.735096250028
91,9965.7263625314,4258.620667316521,7325.11998538642,7393.720586717959
92,9769.069361813816,4344.736290863599,7290.422532023628,7359.160528930956
93,9895.030084027976,4364.314663822621,7361.2823822193495,7430.783709641568
94,9718.047696561736,4246.976005996219,7204.542899928977,7272.670817666497
95,10085.825255742466,4262.381571672773,7383.908360270424,7454.110612852661
96,10618.548879897591,4730.9322372361,7932.240281837394,8008.27300796848
97,10407.488874786583,4908.825205310135,7945.7088715065065,8022.586454584494
98,10389.843858391601,3724.1155891737785,7211.284211970781,7284.354394899515
99,10290.645244349742,3649.0178904487084,7113.454371539792,7185.655402885721
100,10413.538185529475,3644.13808913325,7162.655147611211,7235.503181843981
101,10593.222211276601,3795.790484813308,7351.745399652947,7426.784080549838
102,10293.753354424796,3781.569176429884,7211.577783976059,7285.474997767892
103,10009.953350626502,3577.4265143676594,6940.651830402588,7012.084310083016
104,10031.343808827198,3644.5915106282523,6998.828712674939,7071.040161941116
105,9987.135617071976,3583.787486688585,6935.46618721208,7007.160339156379
106,10167.278475492505,3701.7868017821834,7099.325752027435,7172.872530370301
107,10678.851418899974,4248.356069776814,7715.986573504864,7796.922281693629
108,10869.0127315003,4745.936883593255,8141.084990878839,8227.622810509918
109,11115.116661743617,4820.3459226055775,8303.9655582137,8392.32226554306
110,11309.110010018287,4931.66278166199,8466.47614492601,8556.63433048956
111,11018.151312763855,4513.519836880653,8059.3722141370945,8146.022100406322
112,11274.644971765432,5096.404113326874,8567.306720275363,8660.681141774992
113,10890.823556988777,4779.138635338993,8184.165739203091,8273.762717490026
114,10978.232426154704,4607.114425808311,8113.497126133412,8202.892710796687
115,10354.101047852264,4152.612305740523,7523.8351340899935,7607.309688798703
116,10984.077750768489,5192.771466176198,8517.419241085088,8613.9019613468
117,11109.552818295397,5202.355926406093,8583.844206238391,8681.206886748481
118,11523.993128735192,5461.199314400417,8944.18335514043,9045.794779142632
119,11507.447212182255,5444.679311658039,8925.961982084387,9027.388839169978
120,11771.63377507758,5956.0622003682165,9379.551735850135,9487.056306600081
121,11514.937397367621,5246.453131877895,8814.66288309523,8917.183520225777
122,11714.46554174301,5550.025719691869,9107.333386440145,9213.788742166884
123,11672.140142845827,5647.712444973555,9150.75572927885,9258.012113316823
124,11423.7753627911,5029.760514048844,8635.362561799504,8737.883466834986
125,11610.2250386687,5111.635105943413,8776.153904617875,8880.346875676503
126,11644.017534688177,5119.745138859611,8797.175942589227,8901.636450549659
127,11868.903896970027,5249.039099054387,8987.90669412446,9094.709638204138
128,11833.80037144244,5055.065320543531,8838.641636284152,8944.142477461623
129,12034.495607867206,4926.7003443595695,8838.250272296731,8944.314665620526
130,12177.826021943434,5623.249993172872,9399.601243323918,9514.035292399129
131,12406.677814838202,5605.095322508489,9493.144500050737,9609.028544066447
132,12262.744873891077,5540.694004021468,9383.433855679781,9497.98027305689
133,12518.57089347887,5571.718290947328,9521.695968220678,9638.144484911163
134,12571.888784915243,5523.579459933417,9512.939816769152,9629.467904368006
135,12645.809633631388,5440.486053146346,9488.962279053476,9605.499638762767
136,12367.833104431667,5348.660597634243,9299.674573065531,9413.962253834727
137,12357.320473755683,5405.032391536157,9333.983846801371,9448.853391587436
138,11896.196506941777,4771.263818011323,8685.866465416106,8793.976867039322
139,11971.32422834971,4756.224098660721,8707.686735342075,8816.193253487096
140,12197.064136183133,4707.265234281656,8769.919981340854,8879.584592323441
141,12076.600323228218,4734.210502516737,8737.854498130751,8847.326615426835
142,12085.830843400032,4794.152095686725,8785.982486436023,8896.214535830844
143,11784.290378155387,4788.809167149519,8650.26662180713,8759.118861264908
144,11755.256999513327,4896.3564736837425,8714.912671633501,8824.9032774876
145,11849.811077720133,5016.357584357552,8842.226046109916,8954.038197458367
146,11800.01957294581,4777.429161072884,8650.800121442126,8760.78757852134
147,11707.302134242178,5162.597334245149,8893.599232596069,9007.790467542007
148,11677.433881759629,5790.244865032676,9318.797753941755,9440.029761532114
149,12288.700290232835,5952.096416141726,9713.726832101074,9840.424050173078
150,12575.424185163274,6423.027124591178,10160.233253410635,10293.532156812427
151,12758.492519446743,6254.795057756826,10138.96181543564,10272.604613335652
152,12957.601649779637,6541.552660465268,10421.578115642982,10559.394028126437
153,13072.750808816554,6641.115115980474,10540.966707309426,10680.459423587406
154,13373.028743727242,7539.296789972523,11263.296247114313,11414.010940814913
155,13547.47847767991,7167.30099407369,11123.085808521744,11272.992941526163
156,13707.216417968586,7418.113239410239,11358.941414616223,11512.406821027014
157,13677.409244715604,7187.63624261438,11200.117696577776,11351.937316433065
158,13544.82105311521,7336.296749616056,11229.559873017808,11382.28832147171
159,13800.868742237335,7500.158393984761,11457.475687928609,11613.360668888881
160,13859.06644687563,7232.255527093753,11318.808861112762,11473.503004498249
161,13947.085230381539,7116.025214954732,11286.988656274709,11441.630272878176
162,14156.59090281078,7272.220720654816,11488.260429369087,11645.775078188235
163,14522.315835130237,7938.354166555418,12091.594389139935,12258.459730122508
