asset,setup,t,mu_mix
SPX,rollout_pdl,123,0.0018699784995988011
SPX,rollout_pdl,124,0.0018699784995988011
SPX,rollout_pdl,125,0.0018699784995988011
SPX,rollout_pdl,126,0.0018699784995988011
SPX,rollout_pdl,127,0.0018699784995988011
SPX,rollout_pdl,128,0.0018699784995988011
SPX,rollout_pdl,129,0.0018699784995988011
SPX,rollout_pdl,130,0.0018699784995988011
SPX,rollout_pdl,131,0.0018699784995988011
SPX,rollout_pdl,132,0.0018699784995988011
SPX,rollout_pdl,133,0.0018699784995988011
SPX,rollout_pdl,134,0.0018699784995988011
SPX,rollout_pdl,135,0.0018699784995988011
SPX,rollout_pdl,136,0.0018699784995988011
SPX,rollout_pdl,137,0.0018699784995988011
SPX,rollout_pdl,138,0.0018699784995988011
SPX,rollout_pdl,139,0.0018699784995988011
SPX,rollout_pdl,140,0.0018699784995988011
SPX,rollout_pdl,141,0.0018699784995988011
SPX,rollout_pdl,142,0.0018699784995988011
SPX,rollout_pdl,143,0.0018699784995988011
SPX,rollout_pdl,144,0.0018699784995988011
SPX,rollout_pdl,145,0.0018699784995988011
SPX,rollout_pdl,146,0.0018699784995988011
SPX,rollout_pdl,147,0.0018699784995988011
SPX,rollout_pdl,148,0.0018699784995988011
SPX,rollout_pdl,149,0.0018699784995988011
SPX,rollout_pdl,150,0.0018699784995988011
SPX,rollout_pdl,151,0.0018699784995988011
SPX,rollout_pdl,152,0.0018699784995988011
SPX,rollout_pdl,153,0.0018699784995988011
SPX,rollout_pdl,154,0.0018699784995988011
SPX,rollout_pdl,155,0.0018699784995988011
SPX,rollout_pdl,156,0.0018699784995988011
SPX,rollout_pdl,157,0.0018699784995988011
SPX,rollout_pdl,158,0.0018699784995988011
SPX,rollout_pdl,159,0.0018699784995988011
SPX,rollout_pdl,160,0.0018699784995988011
SPX,rollout_pdl,161,0.0018699784995988011
SPX,rollout_pdl,162,0.0018699784995988011
SPX,rollout_pdl,163,0.0018699784995988011
SPX,pdf_aligned,1,0.0018695347243919969
SPX,pdf_aligned,2,0.0018695347243919969
SPX,pdf_aligned,3,0.0018695347243919969
SPX,pdf_aligned,4,0.0018695347243919969
SPX,pdf_aligned,5,0.0018695347243919969
SPX,pdf_aligned,6,0.0018695347243919969
SPX,pdf_aligned,7,0.0018695347243919969
SPX,pdf_aligned,8,0.001930684084072709
SPX,pdf_aligned,9,0.001930684084072709
SPX,pdf_aligned,10,0.001930684084072709
SPX,pdf_aligned,11,0.001930684084072709
SPX,pdf_aligned,12,0.001930684084072709
SPX,pdf_aligned,13,0.001930684084072709
SPX,pdf_aligned,14,0.001930684084072709
SPX,pdf_aligned,15,0.001930684084072709
SPX,pdf_aligned,16,0.001930684084072709
SPX,pdf_aligned,17,0.001930684084072709
SPX,pdf_aligned,18,0.001930684084072709
SPX,pdf_aligned,19,0.001930684084072709
SPX,pdf_aligned,20,0.001930684084072709
SPX,pdf_aligned,21,0.001930684084072709
SPX,pdf_aligned,22,0.001930684084072709
SPX,pdf_aligned,23,0.001930684084072709
SPX,pdf_aligned,24,0.001930684084072709
SPX,pdf_aligned,25,0.001930684084072709
SPX,pdf_aligned,26,0.001930684084072709
SPX,pdf_aligned,27,0.001930684084072709
SPX,pdf_aligned,28,0.001930684084072709
SPX,pdf_aligned,29,0.001930684084072709
SPX,pdf_aligned,30,0.001930684084072709
SPX,pdf_aligned,31,0.001930684084072709
SPX,pdf_aligned,32,0.001930684084072709
SPX,pdf_aligned,33,0.001930684084072709
SPX,pdf_aligned,34,0.001930684084072709
SPX,pdf_aligned,35,0.001930684084072709
SPX,pdf_aligned,36,0.001930684084072709
SPX,pdf_aligned,37,0.001930684084072709
SPX,pdf_aligned,38,0.001930684084072709
SPX,pdf_aligned,39,0.001930684084072709
SPX,pdf_aligned,40,0.001930684084072709
SPX,pdf_aligned,41,0.001930684084072709
SPX,pdf_aligned,42,0.001930684084072709
SPX,pdf_aligned,43,0.001930684084072709
SPX,pdf_aligned,44,0.001930684084072709
SPX,pdf_aligned,45,0.001930684084072709
SPX,pdf_aligned,46,0.001930684084072709
SPX,pdf_aligned,47,0.001930684084072709
SPX,pdf_aligned,48,0.001930684084072709
SPX,pdf_aligned,49,0.001930684084072709
SPX,pdf_aligned,50,0.001930684084072709
SPX,pdf_aligned,51,0.001930684084072709
SPX,pdf_aligned,52,0.001930684084072709
SPX,pdf_aligned,53,0.001930684084072709
SPX,pdf_aligned,54,0.001930684084072709
SPX,pdf_aligned,55,0.001930684084072709
SPX,pdf_aligned,56,0.001930684084072709
SPX,pdf_aligned,57,0.001930684084072709
SPX,pdf_aligned,58,0.001930684084072709
SPX,pdf_aligned,59,0.001930684084072709
SPX,pdf_aligned,60,0.001930684084072709
SPX,pdf_aligned,61,0.001930684084072709
SPX,pdf_aligned,62,0.001930684084072709
SPX,pdf_aligned,63,0.001930684084072709
SPX,pdf_aligned,64,0.001930684084072709
SPX,pdf_aligned,65,0.001930684084072709
SPX,pdf_aligned,66,0.001930684084072709
SPX,pdf_aligned,67,0.001930684084072709
SPX,pdf_aligned,68,0.001930684084072709
SPX,pdf_aligned,69,0.001930684084072709
SPX,pdf_aligned,70,0.001930684084072709
SPX,pdf_aligned,71,0.001930684084072709
