policy,asset,t,w
RG,CMC200,93,0.9999999736544954
RG,CMC200,94,0.9999999736544954
RG,CMC200,95,0.9999999736544954
RG,CMC200,96,0.9999999736544954
RG,CMC200,97,0.9999999736544954
RG,CMC200,98,0.9999999736544954
RG,CMC200,99,0.9999999736544954
RG,CMC200,100,0.9999999736544954
RG,CMC200,101,0.9999999736544954
RG,CMC200,102,0.9999999736544954
RG,CMC200,103,0.9999999736544954
RG,CMC200,104,0.9999999736544954
RG,CMC200,105,0.9999999736544954
RG,CMC200,106,0.9999999736544954
RG,CMC200,107,0.9999999736544954
RG,CMC200,108,0.9999999736544954
RG,CMC200,109,0.9999999736544954
RG,CMC200,110,0.9999999736544954
RG,CMC200,111,0.9999999736544954
RG,CMC200,112,0.9999999736544954
RG,CMC200,113,0.9999999736544954
RG,CMC200,114,0.9999999736544954
RG,CMC200,115,0.9999999736544954
RG,CMC200,116,0.9999999736544954
RG,CMC200,117,0.9999999736544954
RG,CMC200,118,0.9999999736544954
RG,CMC200,119,0.9999999736544954
RG,CMC200,120,0.9999999736544954
RG,CMC200,121,0.9999999736544954
RG,CMC200,122,0.9999999736544954
RG,CMC200,123,0.9999999736544954
RG,CMC200,124,0.9999999736544954
RG,CMC200,125,0.9999999736544954
RG,CMC200,126,0.9999999736544954
RG,CMC200,127,0.9999999736544954
RG,CMC200,128,0.9999999736544954
RG,CMC200,129,0.9999999736544954
RG,CMC200,130,0.9999999736544954
RG,CMC200,131,0.9999999736544954
RG,CMC200,132,0.9999999736544954
RG,CMC200,133,0.9999999736544954
RG,CMC200,134,0.9999999736544954
RG,CMC200,135,0.9999999736544954
RG,CMC200,136,0.9999999736544954
RG,CMC200,137,0.9999999736544954
RG,CMC200,138,0.9999999736544954
RG,CMC200,139,0.9999999736544954
RG,CMC200,140,0.9999999736544954
RG,CMC200,141,0.9999999736544954
RG,CMC200,142,0.9999999736544954
RG,CMC200,143,0.9999999736544954
RG,CMC200,144,0.9999999736544954
RG,CMC200,145,0.9999999736544954
RG,CMC200,146,0.9999999736544954
RG,CMC200,147,0.9999999736544954
RG,CMC200,148,0.9999999736544954
RG,CMC200,149,0.9999999736544954
RG,CMC200,150,0.9999999736544954
RG,CMC200,151,0.9999999736544954
RG,CMC200,152,0.9999999736544954
RG,CMC200,153,0.9999999736544954
RG,CMC200,154,0.9999999736544954
RG,CMC200,155,0.9999999736544954
RG,CMC200,156,0.9999999736544954
RG,CMC200,157,0.9999999736544954
RG,CMC200,158,0.9999999736544954
RG,CMC200,159,0.9999999736544954
RG,CMC200,160,0.9999999736544954
RG,CMC200,161,0.9999999736544954
RG,CMC200,162,0.9999999736544954
RG,CMC200,163,0.9999999736544954
OPT,CMC200,1,0.43602004933639954
OPT,CMC200,2,0.4360191968717739
OPT,CMC200,3,0.4360167314514346
OPT,CMC200,4,0.43601273560596443
OPT,CMC200,5,0.43598163278436725
OPT,CMC200,6,0.43595312369366984
OPT,CMC200,7,0.43595210776627763
OPT,CMC200,8,0.43595025766359935
OPT,CMC200,9,0.4359478584194582
OPT,CMC200,10,0.43586204144618396
OPT,CMC200,11,0.4216733701410956
OPT,CMC200,12,0.29635319006882543
OPT,CMC200,13,0.2963477929069798
OPT,CMC200,14,0.2963467959990058
OPT,CMC200,15,0.2963463178850729
OPT,CMC200,16,0.2963462299103893
OPT,CMC200,17,0.296346320784115
OPT,CMC200,18,0.296346237586412
OPT,CMC200,19,0.2963459642184405
OPT,CMC200,20,0.29634570657313436
OPT,CMC200,21,0.29634557006314305
OPT,CMC200,22,0.2963447455242033
OPT,CMC200,23,0.28394365687582396
OPT,CMC200,24,0.28113031648051506
OPT,CMC200,25,0.2810767128981381
OPT,CMC200,26,0.28107504176802595
OPT,CMC200,27,0.22269163890898064
OPT,CMC200,28,0.21450544220800843
OPT,CMC200,29,0.21450271840876703
OPT,CMC200,30,0.2144995072374461
OPT,CMC200,31,0.2144984882392183
OPT,CMC200,32,0.21449463391132872
OPT,CMC200,33,0.21026524306801647
OPT,CMC200,34,0.2102443954189082
OPT,CMC200,35,0.1981503167469643
OPT,CMC200,36,0.1981483171757935
OPT,CMC200,37,0.1981474413916209
OPT,CMC200,38,0.19814493197199545
OPT,CMC200,39,0.198143310544404
OPT,CMC200,40,0.1981398265488167
OPT,CMC200,41,0.188672076659358
OPT,CMC200,42,0.1886670272401331
OPT,CMC200,43,0.18866441096780212
OPT,CMC200,44,0.1886633722887615
OPT,CMC200,45,0.1886628449750934
OPT,CMC200,46,0.18866234940542484
OPT,CMC200,47,0.18866187339902568
OPT,CMC200,48,0.1886615235582686
OPT,CMC200,49,0.1886612923351034
OPT,CMC200,50,0.18866104779656284
OPT,CMC200,51,0.18866083133055123
OPT,CMC200,52,0.1886607133797825
OPT,CMC200,53,0.18866067102337072
OPT,CMC200,54,0.1886606619897266
OPT,CMC200,55,0.18866056793828068
OPT,CMC200,56,0.1886604482940238
OPT,CMC200,57,0.18865972214591076
OPT,CMC200,58,0.1886585621607683
OPT,CMC200,59,0.1886570503525527
OPT,CMC200,60,0.1886562914302717
OPT,CMC200,61,0.18865584924830697
