scenario,t,RG,OPT,Naive
4,35,9191.666015625,9646.3369140625,9348.857421875
4,36,8391.642578125,9172.6806640625,8756.0625
4,37,8027.083984375,8917.6259765625,8460.8291015625
4,38,7346.10009765625,8363.0869140625,7862.22998046875
4,39,7916.0234375,8802.1845703125,8348.9638671875
4,40,7870.1923828125,8823.890625,8343.498046875
4,41,7807.0185546875,8792.6796875,8299.8251953125
4,42,8067.89990234375,8984.1923828125,8517.7578125
4,43,8932.97265625,9508.0087890625,9173.6787109375
4,44,8697.154296875,9360.943359375,8993.1474609375
4,45,9680.0986328125,9937.943359375,9724.1298828125
4,46,8864.3427734375,9443.939453125,9111.232421875
4,47,9818.36328125,10022.244140625,9830.75
4,48,9537.1142578125,9857.9501953125,9623.185546875
4,49,10582.716796875,10468.7509765625,10394.8369140625
4,50,11000.96875,10701.638671875,10694.724609375
4,51,9992.625,10257.095703125,10043.9013671875
4,52,11146.0439453125,10902.29296875,10877.3779296875
4,53,12575.8798828125,11566.7099609375,11820.314453125
4,54,12995.6298828125,11832.9619140625,12139.20703125
4,55,12813.4345703125,11801.2744140625,12053.65234375
4,56,13247.505859375,12086.9580078125,12389.9912109375
4,57,11997.9150390625,11505.2021484375,11573.0693359375
4,58,10900.6923828125,10898.3525390625,10790.009765625
4,59,11028.1396484375,10982.345703125,10889.6015625
4,60,10978.640625,10989.5703125,10875.1728515625
4,61,11970.4326171875,11628.6904296875,11641.4365234375
4,62,12490.345703125,11874.1787109375,11986.525390625
4,63,13968.185546875,12609.0771484375,12986.9677734375
4,64,13722.748046875,12617.751953125,12904.5380859375
4,65,13512.2587890625,12557.970703125,12790.6904296875
4,66,15145.9736328125,13344.0234375,13876.4638671875
4,67,17211.091796875,14173.1240234375,15132.380859375
4,68,19701.81640625,15111.5087890625,16588.4921875
4,69,22794.251953125,16149.5458984375,18287.837890625
4,70,26536.23046875,17297.314453125,20238.50390625
4,71,24862.416015625,16598.3046875,19243.869140625
4,72,23893.619140625,16209.7177734375,18678.00390625
4,73,26618.482421875,17206.158203125,20195.35546875
4,74,30046.611328125,18274.22265625,21954.837890625
4,75,34302.70703125,19495.03515625,24038.51953125
4,76,34051.8984375,19586.12109375,24041.810546875
4,77,33218.515625,19185.142578125,23513.203125
4,78,33363.4921875,19275.89453125,23621.171875
4,79,34479.0703125,19728.8828125,24264.384765625
4,80,31285.708984375,18711.32421875,22635.912109375
4,81,34489.83984375,19861.6796875,24375.455078125
4,82,38579.24609375,21036.396484375,26360.984375
4,83,35301.6171875,20089.8984375,24776.09765625
4,84,32237.337890625,19163.947265625,23252.3046875
4,85,33098.93359375,19680.017578125,23876.6875
4,86,34412.33203125,20137.978515625,24579.39453125
4,87,35687.8671875,20580.8359375,25259.017578125
4,88,35124.67578125,20516.322265625,25058.94140625
4,89,34671.98828125,20455.89453125,24890.837890625
4,90,38419.58203125,21702.80078125,26848.544921875
4,91,34977.99609375,20575.08984375,25071.10546875
