asset,setup,t,w
SPX,rollout+psign,17,0.9999999770015825
SPX,rollout+psign,18,0.9999999770015843
SPX,rollout+psign,19,0.9999999770015849
SPX,rollout+psign,20,0.9999999770015852
SPX,rollout+psign,21,0.9999999770015853
SPX,rollout+psign,22,0.9999999770015853
SPX,rollout+psign,23,0.9999999770015854
SPX,rollout+psign,24,0.9999999770015853
SPX,rollout+psign,25,0.9999999770015854
SPX,rollout+psign,26,0.9999999770015854
SPX,rollout+psign,27,0.9999999770015854
SPX,rollout+psign,28,0.9999999770015853
SPX,rollout+psign,29,0.9999999770015854
SPX,rollout+psign,30,0.9999999770015854
SPX,rollout+psign,31,0.9999999770015854
SPX,rollout+psign,32,0.9999999770015854
SPX,rollout+psign,33,0.9999999770015854
SPX,rollout+psign,34,0.9999999770015854
SPX,rollout+psign,35,0.9999999770015854
SPX,rollout+psign,36,0.9999999770015854
SPX,rollout+psign,37,0.9999999770015854
SPX,rollout+psign,38,0.9999999770015854
SPX,rollout+psign,39,0.9999999770015854
SPX,rollout+psign,40,0.9999999770015854
SPX,rollout+psign,41,0.9999999770015854
SPX,rollout+psign,42,0.9999999770015854
SPX,rollout+psign,43,0.9999999770015854
SPX,rollout+psign,44,0.9999999770015854
SPX,rollout+psign,45,0.9999999770015854
SPX,rollout+psign,46,0.9999999770015854
SPX,rollout+psign,47,0.9999999770015854
SPX,rollout+psign,48,0.9999999770015854
SPX,rollout+psign,49,0.9999999770015854
SPX,rollout+psign,50,0.9999999770015854
SPX,rollout+psign,51,0.9999999770015854
SPX,rollout+psign,52,0.9999999770015854
SPX,rollout+psign,53,0.9999999770015854
SPX,rollout+psign,54,0.9999999770015854
SPX,rollout+psign,55,0.9999999770015854
SPX,rollout+psign,56,0.9999999770015854
SPX,rollout+psign,57,0.9999999770015854
SPX,rollout+psign,58,0.9999999770015854
SPX,rollout+psign,59,0.9999999770015854
SPX,rollout+psign,60,0.9999999770015854
SPX,rollout+psign,61,0.9999999770015854
SPX,rollout+psign,62,0.9999999770015854
SPX,rollout+psign,63,0.9999999770015854
SPX,rollout+psign,64,0.9999999770015854
SPX,rollout+psign,65,0.9999999770015854
SPX,rollout+psign,66,0.9999999770015854
SPX,rollout+psign,67,0.9999999770015854
SPX,rollout+psign,68,0.9999999770015854
SPX,rollout+psign,69,0.9999999770015854
SPX,rollout+psign,70,0.9999999770015854
SPX,rollout+psign,71,0.9999999770015854
SPX,rollout+psign,72,0.9999999770015854
SPX,rollout+psign,73,0.9999999770015854
SPX,rollout+psign,74,0.9999999770015854
SPX,rollout+psign,75,0.9999999770015854
SPX,rollout+psign,76,0.9999999770015854
SPX,rollout+psign,77,0.9999999770015854
SPX,rollout+psign,78,0.9999999770015854
SPX,rollout+psign,79,0.9999999770015854
SPX,rollout+psign,80,0.9999999770015854
SPX,rollout+psign,81,0.9999999770015854
SPX,rollout+psign,82,0.9999999770015854
SPX,rollout+psign,83,0.9999999770015854
SPX,rollout+psign,84,0.9999999770015854
SPX,rollout+psign,85,0.9999999770015854
SPX,rollout+psign,86,0.9999999770015854
SPX,rollout+psign,87,0.9999999770015854
SPX,rollout+psign,88,0.9999999770015854
SPX,rollout+psign,89,0.9999999770015854
SPX,rollout+psign,90,0.9999999770015854
SPX,rollout+psign,91,0.9999999770015854
SPX,rollout+psign,92,0.9999999770015854
SPX,rollout+psign,93,0.9999999770015854
SPX,rollout+psign,94,0.9999999770015854
SPX,rollout+psign,95,0.9999999770015854
SPX,rollout+psign,96,0.9999999770015854
SPX,rollout+psign,97,0.9999999770015854
SPX,rollout+psign,98,0.9999999770015854
SPX,rollout+psign,99,0.9999999770015854
SPX,rollout+psign,100,0.9999999770015854
SPX,rollout+psign,101,0.9999999770015854
SPX,rollout+psign,102,0.9999999770015854
SPX,rollout+psign,103,0.9999999770015854
SPX,rollout+psign,104,0.9999999770015854
SPX,rollout+psign,105,0.9999999770015854
SPX,rollout+psign,106,0.9999999770015854
SPX,rollout+psign,107,0.9999999770015854
SPX,rollout+psign,108,0.9999999770015854
SPX,rollout+psign,109,0.9999999770015854
SPX,rollout+psign,110,0.9999999770015854
SPX,rollout+psign,111,0.9999999770015854
SPX,rollout+psign,112,0.9999999770015854
SPX,rollout+psign,113,0.9999999770015854
SPX,rollout+psign,114,0.9999999770015854
SPX,rollout+psign,115,0.9999999770015854
SPX,rollout+psign,116,0.9999999770015854
SPX,rollout+psign,117,0.9999999770015854
SPX,rollout+psign,118,0.9999999770015854
SPX,rollout+psign,119,0.9999999770015854
SPX,rollout+psign,120,0.9999999770015854
SPX,rollout+psign,121,0.9999999770015854
SPX,rollout+psign,122,0.9999999770015854
SPX,rollout+psign,123,0.9999999770015854
SPX,rollout+psign,124,0.9999999770015854
SPX,rollout+psign,125,0.9999999770015854
SPX,rollout+psign,126,0.9999999770015854
SPX,rollout+psign,127,0.9999999770015854
SPX,rollout+psign,128,0.9999999770015854
SPX,rollout+psign,129,0.9999999770015854
SPX,rollout+psign,130,0.9999999770015854
SPX,rollout+psign,131,0.9999999770015854
SPX,rollout+psign,132,0.9999999770015854
SPX,rollout+psign,133,0.9999999770015854
SPX,rollout+psign,134,0.9999999770015854
SPX,rollout+psign,135,0.9999999770015854
SPX,rollout+psign,136,0.9999999770015854
SPX,rollout+psign,137,0.9999999770015854
SPX,rollout+psign,138,0.9999999770015854
SPX,rollout+psign,139,0.9999999770015854
SPX,rollout+psign,140,0.9999999770015854
SPX,rollout+psign,141,0.9999999770015854
SPX,rollout+psign,142,0.9999999770015854
SPX,rollout+psign,143,0.9999999770015854
SPX,rollout+psign,144,0.9999999770015854
SPX,rollout+psign,145,0.9999999770015854
SPX,rollout+psign,146,0.9999999770015854
SPX,rollout+psign,147,0.9999999770015854
SPX,rollout+psign,148,0.9999999770015854
SPX,rollout+psign,149,0.9999999770015854
SPX,rollout+psign,150,0.9999999770015854
SPX,rollout+psign,151,0.9999999770015854
SPX,rollout+psign,152,0.9999999770015854
SPX,rollout+psign,153,0.9999999770015854
