setup,t,RG_cap
rollout+psign,125,10723.716381725422
rollout+psign,126,10758.119957831299
rollout+psign,127,10953.113795524703
rollout+psign,128,10995.208963611785
rollout+psign,129,11274.837331054065
rollout+psign,130,11117.1046593865
rollout+psign,131,11374.994540101236
rollout+psign,132,11242.776832127594
rollout+psign,133,11511.649832620535
rollout+psign,134,11590.382429693187
rollout+psign,135,11707.042967728394
rollout+psign,136,11437.7504684777
rollout+psign,137,11401.98703572912
rollout+psign,138,11158.443448220798
rollout+psign,139,11249.996026203478
rollout+psign,140,11527.581790177164
rollout+psign,141,11377.840348071975
rollout+psign,142,11359.52296923375
rollout+psign,143,11022.069474768168
rollout+psign,144,10940.095404921187
rollout+psign,145,10992.145929425622
rollout+psign,146,11041.224107233511
rollout+psign,147,10773.648918827328
rollout+psign,148,10497.780793480273
rollout+psign,149,11094.858609963101
rollout+psign,150,11238.77036684341
rollout+psign,151,11487.437888810398
rollout+psign,152,11602.194274198244
rollout+psign,153,11691.651389999133
rollout+psign,154,11716.41050449564
rollout+psign,155,12005.000703352376
rollout+psign,156,12094.818424478695
rollout+psign,157,12133.422954542884
rollout+psign,158,11947.350488634887
rollout+psign,159,12165.584899495168
rollout+psign,160,12307.119029075951
rollout+psign,161,12436.531019874703
rollout+psign,162,12607.343525505112
rollout+psign,163,12779.059849027026
scenarios+psign,1,10000.0
scenarios+psign,2,10156.015702296587
scenarios+psign,3,10005.055835438423
scenarios+psign,4,10197.597082334612
scenarios+psign,5,9854.131609335947
scenarios+psign,6,10301.704854899754
scenarios+psign,7,10428.145538519206
scenarios+psign,8,10353.35361517705
scenarios+psign,9,10096.956716604102
scenarios+psign,10,10178.201643455894
scenarios+psign,11,10443.350614393194
scenarios+psign,12,10362.955828272612
scenarios+psign,13,10524.401388760205
scenarios+psign,14,10643.754044559435
scenarios+psign,15,10928.337879680848
scenarios+psign,16,11077.316191928843
scenarios+psign,17,11063.27947247224
scenarios+psign,18,11065.925762485096
scenarios+psign,19,11201.211039971226
scenarios+psign,20,11044.645098610601
scenarios+psign,21,10996.937288234702
scenarios+psign,22,11123.877480857976
scenarios+psign,23,11191.88257993998
scenarios+psign,24,11238.221600391174
scenarios+psign,25,11021.862970450687
scenarios+psign,26,11320.028514023721
scenarios+psign,27,11507.907045706294
scenarios+psign,28,11553.321718736443
scenarios+psign,29,11440.694038095426
scenarios+psign,30,11662.289271248988
scenarios+psign,31,11618.51047037082
scenarios+psign,32,11727.069832549529
scenarios+psign,33,11809.987145409112
scenarios+psign,34,11740.18460211361
scenarios+psign,35,11917.779143871798
scenarios+psign,36,11986.45481750235
scenarios+psign,37,11781.611222520738
scenarios+psign,38,11713.796335002928
scenarios+psign,39,11773.073313905996
scenarios+psign,40,11510.040979836085
scenarios+psign,41,11600.296354363698
scenarios+psign,42,11809.803398771353
scenarios+psign,43,12002.431064865059
scenarios+psign,44,12161.096669607368
scenarios+psign,45,12402.027847725072
scenarios+psign,46,12363.211071099311
scenarios+psign,47,12403.03845518804
scenarios+psign,48,12127.166544896138
scenarios+psign,49,11977.942931748916
scenarios+psign,50,12427.541227014919
scenarios+psign,51,12184.167188136025
scenarios+psign,52,12458.329198539579
scenarios+psign,53,12564.354940915026
scenarios+psign,54,12327.115598779841
scenarios+psign,55,12289.685822988275
scenarios+psign,56,11570.854299153238
scenarios+psign,57,11659.72875294863
scenarios+psign,58,11839.031987822724
scenarios+psign,59,11621.630265254584
scenarios+psign,60,11436.66133313065
scenarios+psign,61,11530.37007040855
scenarios+psign,62,11382.744223788419
scenarios+psign,63,11050.409498012132
scenarios+psign,64,11710.537707315169
scenarios+psign,65,11918.431448087216
scenarios+psign,66,11925.774294631881
scenarios+psign,67,11773.751766717687
scenarios+psign,68,11520.021381380726
scenarios+psign,69,11198.745916846688
scenarios+psign,70,10825.98558612831
scenarios+psign,71,10803.454798182718
scenarios+psign,72,10539.694845985206
scenarios+psign,73,10213.767088420396
scenarios+psign,74,10865.065568940916
scenarios+psign,75,10734.421626181651
scenarios+psign,76,10177.619926584135
scenarios+psign,77,9570.143724406315
scenarios+psign,78,10168.01612183818
scenarios+psign,79,9940.887780755456
scenarios+psign,80,10131.482213177907
scenarios+psign,81,10036.934638639634
scenarios+psign,82,10289.56476232789
scenarios+psign,83,10718.558372942132
scenarios+psign,84,10757.155681416258
scenarios+psign,85,11101.808717381087
scenarios+psign,86,10966.972280592963
scenarios+psign,87,10514.7365068506
scenarios+psign,88,10163.243266026879
scenarios+psign,89,10527.253702921695
scenarios+psign,90,10012.68633678681
scenarios+psign,91,9535.950154859202
scenarios+psign,92,9253.972353388423
scenarios+psign,93,9392.40078171716
scenarios+psign,94,9245.219480808757
scenarios+psign,95,9672.985712799413
scenarios+psign,96,10047.905045062873
scenarios+psign,97,9706.00061689522
scenarios+psign,98,10262.197032853608
scenarios+psign,99,10191.042483929397
scenarios+psign,100,10346.063908930744
scenarios+psign,101,10462.533985592692
scenarios+psign,102,10103.592574475282
scenarios+psign,103,9890.737112813154
scenarios+psign,104,9871.359473373437
scenarios+psign,105,9857.69103153056
scenarios+psign,106,9999.366640415967
scenarios+psign,107,10262.876138535024
scenarios+psign,108,10194.694503484434
scenarios+psign,109,10443.009323361635
scenarios+psign,110,10610.771908870847
scenarios+psign,111,10492.061175568575
scenarios+psign,112,10462.856752657182
scenarios+psign,113,10179.336703024252
scenarios+psign,114,10371.355134259235
scenarios+psign,115,9888.457645945055
scenarios+psign,116,10028.429524827348
scenarios+psign,117,10166.634466295262
scenarios+psign,118,10514.737118546185
scenarios+psign,119,10503.754197457394
scenarios+psign,120,10586.89130430231
scenarios+psign,121,10576.343990014528
scenarios+psign,122,10667.956003169773
scenarios+psign,123,10582.593756896355
scenarios+psign,124,10551.411110796635
scenarios+psign,125,10723.71763314898
scenarios+psign,126,10758.121223274175
scenarios+psign,127,10953.11509197027
scenarios+psign,128,10995.210283932587
scenarios+psign,129,11274.83870658686
scenarios+psign,130,11117.105989308953
scenarios+psign,131,11374.995917170838
scenarios+psign,132,11242.778203388441
scenarios+psign,133,11511.651250990179
scenarios+psign,134,11590.38387165841
scenarios+psign,135,11707.04444051999
scenarios+psign,136,11437.751916410485
scenarios+psign,137,11401.988486095168
scenarios+psign,138,11158.444901242347
scenarios+psign,139,11249.997503839966
scenarios+psign,140,11527.58332242951
scenarios+psign,141,11377.841866274988
scenarios+psign,142,11359.524491863816
scenarios+psign,143,11022.070955920122
scenarios+psign,144,10940.096878026605
scenarios+psign,145,10992.147414813757
scenarios+psign,146,11041.22562108467
scenarios+psign,147,10773.650382074618
scenarios+psign,148,10497.782195831962
scenarios+psign,149,11094.860107780954
scenarios+psign,150,11238.771879045333
scenarios+psign,151,11487.439455912649
scenarios+psign,152,11602.195858800293
