asset,setup,t,mu_mix_pct
SPX,rollout+psign,74,-0.39327587001025677
SPX,rollout+psign,75,-0.39327587001025677
SPX,rollout+psign,76,-0.39327587001025677
SPX,rollout+psign,77,-0.39327587001025677
SPX,rollout+psign,78,-0.39327587001025677
SPX,rollout+psign,79,-0.39327587001025677
SPX,rollout+psign,80,-0.39327587001025677
SPX,rollout+psign,81,-0.39327587001025677
SPX,rollout+psign,82,-0.39327587001025677
SPX,rollout+psign,83,-0.39327587001025677
SPX,rollout+psign,84,-0.39327587001025677
SPX,rollout+psign,85,-0.39327587001025677
SPX,rollout+psign,86,-0.39327587001025677
SPX,rollout+psign,87,-0.39327587001025677
SPX,rollout+psign,88,-0.39327587001025677
SPX,rollout+psign,89,-0.39327587001025677
SPX,rollout+psign,90,-0.39327587001025677
SPX,rollout+psign,91,-0.39327587001025677
SPX,rollout+psign,92,-0.39327587001025677
SPX,rollout+psign,93,-0.39327587001025677
SPX,rollout+psign,94,-0.39327587001025677
SPX,rollout+psign,95,-0.39327587001025677
SPX,rollout+psign,96,-0.39327587001025677
SPX,rollout+psign,97,-0.39327587001025677
SPX,rollout+psign,98,-0.39327587001025677
SPX,rollout+psign,99,-0.39327587001025677
SPX,rollout+psign,100,-0.39327587001025677
SPX,rollout+psign,101,-0.39327587001025677
SPX,rollout+psign,102,-0.39327587001025677
SPX,rollout+psign,103,-0.39327587001025677
SPX,rollout+psign,104,-0.39327587001025677
SPX,rollout+psign,105,-0.39327587001025677
SPX,rollout+psign,106,-0.39327587001025677
SPX,rollout+psign,107,-0.39327587001025677
SPX,rollout+psign,108,-0.39327587001025677
SPX,rollout+psign,109,-0.39327587001025677
SPX,rollout+psign,110,-0.39327587001025677
SPX,rollout+psign,111,-0.39327587001025677
SPX,rollout+psign,112,-0.39327587001025677
SPX,rollout+psign,113,-0.39327587001025677
SPX,rollout+psign,114,-0.39327587001025677
SPX,rollout+psign,115,-0.39327587001025677
SPX,rollout+psign,116,-0.39327587001025677
SPX,rollout+psign,117,-0.39327587001025677
SPX,rollout+psign,118,-0.39327587001025677
SPX,rollout+psign,119,-0.39327587001025677
SPX,rollout+psign,120,-0.39327587001025677
SPX,rollout+psign,121,-0.39327587001025677
SPX,rollout+psign,122,-0.39327587001025677
SPX,rollout+psign,123,-0.39327587001025677
SPX,rollout+psign,124,-0.39327587001025677
SPX,rollout+psign,125,-0.39327587001025677
SPX,rollout+psign,126,-0.39327587001025677
SPX,rollout+psign,127,-0.39327587001025677
SPX,rollout+psign,128,-0.39327587001025677
SPX,rollout+psign,129,-0.39327587001025677
SPX,rollout+psign,130,-0.39327587001025677
SPX,rollout+psign,131,-0.39327587001025677
SPX,rollout+psign,132,-0.39327587001025677
SPX,rollout+psign,133,-0.39327587001025677
SPX,rollout+psign,134,-0.39327587001025677
SPX,rollout+psign,135,-0.39327587001025677
SPX,rollout+psign,136,-0.39327587001025677
SPX,rollout+psign,137,-0.39327587001025677
SPX,rollout+psign,138,-0.39327587001025677
SPX,rollout+psign,139,-0.39327587001025677
SPX,rollout+psign,140,-0.39327587001025677
SPX,rollout+psign,141,-0.39327587001025677
SPX,rollout+psign,142,-0.39327587001025677
SPX,rollout+psign,143,-0.39327587001025677
SPX,rollout+psign,144,-0.39327587001025677
SPX,rollout+psign,145,-0.39327587001025677
SPX,rollout+psign,146,-0.39327587001025677
SPX,rollout+psign,147,-0.39327587001025677
SPX,rollout+psign,148,-0.39327587001025677
SPX,rollout+psign,149,-0.39327587001025677
SPX,rollout+psign,150,-0.39327587001025677
SPX,rollout+psign,151,-0.39327587001025677
SPX,rollout+psign,152,-0.39327587001025677
SPX,rollout+psign,153,-0.39327587001025677
SPX,rollout+psign,154,-0.39327587001025677
SPX,rollout+psign,155,-0.39327587001025677
SPX,rollout+psign,156,-0.39327587001025677
SPX,rollout+psign,157,-0.39327587001025677
SPX,rollout+psign,158,-0.39327587001025677
SPX,rollout+psign,159,-0.39327587001025677
SPX,rollout+psign,160,-0.39327587001025677
SPX,rollout+psign,161,-0.39327587001025677
SPX,rollout+psign,162,-0.39327587001025677
SPX,rollout+psign,163,-0.39327587001025677
SPX,scenarios+psign,1,0.4317526239901781
SPX,scenarios+psign,2,0.3950847778469324
SPX,scenarios+psign,3,0.3400828689336777
SPX,scenarios+psign,4,0.26308009400963783
SPX,scenarios+psign,5,0.23741265758872032
SPX,scenarios+psign,6,0.23741265758872032
SPX,scenarios+psign,7,0.17874380573630333
SPX,scenarios+psign,8,0.2704136073589325
SPX,scenarios+psign,9,0.1494094729423523
SPX,scenarios+psign,10,0.22274544462561607
SPX,scenarios+psign,11,0.24841288104653358
SPX,scenarios+psign,12,0.12374203652143478
SPX,scenarios+psign,13,0.10174131020903587
SPX,scenarios+psign,14,0.13840924948453903
SPX,scenarios+psign,15,0.10174131020903587
SPX,scenarios+psign,16,0.21907854825258255
SPX,scenarios+psign,17,0.16040997579693794
SPX,scenarios+psign,18,0.2337457612156868
SPX,scenarios+psign,19,0.14207595959305763
SPX,scenarios+psign,20,0.13840924948453903
SPX,scenarios+psign,21,0.07607368752360344
SPX,scenarios+psign,22,0.16407668590545654
SPX,scenarios+psign,23,0.14207595959305763
SPX,scenarios+psign,24,0.1127416267991066
SPX,scenarios+psign,25,0.2117450349032879
SPX,scenarios+psign,26,0.22641224786639214
SPX,scenarios+psign,27,0.13107545673847198
SPX,scenarios+psign,28,0.17874380573630333
SPX,scenarios+psign,29,0.25941338390111923
SPX,scenarios+psign,30,0.16040997579693794
SPX,scenarios+psign,31,0.17507709562778473
SPX,scenarios+psign,32,0.1164083369076252
SPX,scenarios+psign,33,0.22641224786639214
SPX,scenarios+psign,34,0.16040997579693794
SPX,scenarios+psign,35,0.05407296121120453
SPX,scenarios+psign,36,0.13474253937602043
SPX,scenarios+psign,37,0.17874380573630333
SPX,scenarios+psign,38,0.1824106089770794
SPX,scenarios+psign,39,0.2300790511071682
SPX,scenarios+psign,40,0.2337457612156868
SPX,scenarios+psign,41,0.18607759848237038
SPX,scenarios+psign,42,0.2117450349032879
SPX,scenarios+psign,43,0.08340710774064064
SPX,scenarios+psign,44,0.10174131020903587
SPX,scenarios+psign,45,0.05040625110268593
SPX,scenarios+psign,46,0.10540811344981194
SPX,scenarios+psign,47,0.19707782194018364
SPX,scenarios+psign,48,0.17874380573630333
SPX,scenarios+psign,49,0.16040997579693794
SPX,scenarios+psign,50,0.09440761059522629
SPX,scenarios+psign,51,0.17141038551926613
SPX,scenarios+psign,52,0.13474253937602043
SPX,scenarios+psign,53,0.20441152155399323
SPX,scenarios+psign,54,0.13474253937602043
SPX,scenarios+psign,55,0.06874017417430878
SPX,scenarios+psign,56,0.2704136073589325
SPX,scenarios+psign,57,0.06874017417430878
SPX,scenarios+psign,58,0.18974430859088898
SPX,scenarios+psign,59,0.18607759848237038
