grupo,id,corr
candidato,456,0.09143465043689682
candidato,457,-0.02468267452026735
candidato,458,-0.006064545373924724
candidato,459,0.19766415072600033
candidato,460,-0.004389907639720589
candidato,461,-0.14044871040246648
candidato,462,0.014113330536749387
candidato,463,-0.0989568639023903
candidato,464,-0.04887815850709191
candidato,465,0.07672405939629512
candidato,466,-0.09351635320656211
candidato,467,0.02232470578565922
candidato,468,0.06447655136586934
candidato,469,0.07459603870310486
candidato,470,0.0002346633338277138
candidato,471,-0.02762261291224025
candidato,472,0.02251456075698616
candidato,473,0.10692717223456982
candidato,474,-0.10362058994600512
candidato,475,0.07633237730153011
candidato,476,-0.09336867836250157
candidato,477,-0.014440386269837052
candidato,478,-0.025194971503838592
candidato,479,0.0032523922571921255
candidato,480,-0.04117770962290755
candidato,481,-0.09738085349346197
candidato,482,-0.12433214771747556
candidato,483,-0.0703106965124225
candidato,484,-0.10524670866581164
candidato,485,0.051787467253404385
candidato,486,0.029809600012605717
candidato,487,-0.027594292829102557
candidato,488,0.005350525841004502
candidato,489,0.09515220787359792
candidato,490,0.0392413001087104
candidato,491,0.1417804033950415
candidato,492,0.016590371023968497
candidato,493,0.014685216988911726
candidato,494,0.014869958253738247
candidato,495,-0.045422061197509425
candidato,496,0.015352476873132848
candidato,497,0.08851873581956603
candidato,498,-0.0027772256822798497
candidato,499,0.03960167020135267
candidato,500,-0.07518865986066132
candidato,501,0.08785858698292633
candidato,502,-0.06057533340595839
candidato,503,-0.029139456974897386
candidato,504,0.09690615459969801
candidato,505,-0.0905941354923409
candidato,506,-0.04941285629081053
candidato,507,0.12291463005941311
candidato,508,-0.11721664400850493
candidato,509,-0.07212680084430227
candidato,510,0.04152071666529899
candidato,511,-0.021867398686502556
candidato,512,0.01731535305785737
candidato,513,0.04781860937334293
candidato,514,-0.08804559903763917
candidato,515,-0.01952876747352072
candidato,516,-0.0005257789471342012
candidato,517,-0.09165076119784483
candidato,518,-0.04608329638575632
candidato,519,0.023417767402083144
candidato,520,-0.2368264696072631
candidato,521,-0.010694121470183416
candidato,522,-0.026778104100472253
candidato,523,-0.045982679326832906
candidato,524,-0.14025374055765882
candidato,525,0.05672211604562074
candidato,526,-0.08902287665937415
candidato,527,-0.03444552018931826
candidato,528,0.09366424145287439
candidato,529,0.0790997871537189
candidato,530,-0.07443325580617578
candidato,531,0.09994157905323837
candidato,532,-0.1327611186779852
candidato,533,-0.01846204112513464
candidato,534,0.05546912505502404
candidato,535,0.048201716083427694
candidato,536,-0.008736204859060294
candidato,537,0.05440949397132557
candidato,538,0.046808880173479395
candidato,539,-0.026481537632231916
candidato,540,0.019365911067563555
candidato,541,-0.0824555492961467
candidato,542,0.059566508111201726
candidato,543,0.16048569655789238
candidato,544,0.06646024704925255
candidato,545,0.02441938729941381
candidato,546,-0.07288663489572252
candidato,547,-0.02428598081124143
candidato,548,0.016078176201290383
candidato,549,0.03991046909315567
candidato,550,-0.08779615086678168
candidato,551,0.07523564013183905
candidato,552,0.07417231572308348
candidato,553,-0.08567277806469499
candidato,554,-0.05586378168775109
candidato,555,-0.037535104331374754
candidato,556,0.07381976586082963
candidato,557,0.011311043754185207
candidato,558,0.010023585525374058
candidato,559,-0.0031068203189211115
candidato,560,-0.1397149688606498
candidato,561,-0.026194656676070162
candidato,562,-0.1816525869469241
candidato,563,-0.07323210671350446
candidato,564,0.0025929310770304312
candidato,565,-0.009597089353340334
candidato,566,-0.004434118278508176
candidato,567,-0.00506039574608363
candidato,568,-0.040810631761479
candidato,569,-0.14447887595504175
candidato,570,0.00940527186674792
candidato,571,-0.11968828596623478
candidato,572,0.012222151725399415
candidato,573,-0.07911886492836144
candidato,574,-0.08755469203281131
candidato,575,0.014188210498033644
candidato,576,0.14603208043075117
candidato,577,0.04910398898424839
candidato,578,0.0436328132566978
candidato,579,-0.07856287809373533
candidato,580,-0.06962413723056078
candidato,581,0.05917382233956619
candidato,582,0.1263447259306059
candidato,583,0.07874384564650137
candidato,584,-0.11590419594379928
candidato,585,-0.14193897761681853
candidato,586,-0.08435172233699993
candidato,587,0.08182069811268482
candidato,588,-0.0803576890626734
candidato,589,0.048918620735136475
candidato,590,0.04764924952261149
candidato,591,-0.11112944065632616
candidato,592,0.08609154071949299
candidato,593,-0.12033747387652317
candidato,594,-0.09863290951205467
candidato,595,0.03204342153996716
