setup,t,costo_t,costo_acum
pdf_aligned,154,1.1297964588230427e-09,0.0025001727527039505
pdf_aligned,155,1.1297964588230427e-09,0.002500173882500409
pdf_aligned,156,1.1297964588230427e-09,0.002500175012296868
pdf_aligned,157,1.1297964588229343e-09,0.0025001761420933265
pdf_aligned,158,1.1297964588229343e-09,0.002500177271889785
pdf_aligned,159,1.1297964588232596e-09,0.0025001784016862438
pdf_aligned,160,1.1297964588230427e-09,0.0025001795314827024
pdf_aligned,161,1.1297964588227174e-09,0.002500180661279161
pdf_aligned,162,1.129796458823151e-09,0.0025001817910756197
pdf_aligned,163,1.1297964588230427e-09,0.0025001829208720783
legacy,1,0.0018979574481600948,0.0018979574481600948
legacy,2,3.701212480597449e-06,0.0019016586606406922
legacy,3,1.6455439759641854e-06,0.0019033042046166563
legacy,4,9.890277222287982e-07,0.0019042932323388852
legacy,5,6.735427128699121e-07,0.001904966775051755
legacy,6,4.918832870611492e-07,0.0019054586583388163
legacy,7,3.753123937893107e-07,0.0019058339707326056
legacy,8,2.948893028284797e-07,0.0019061288600354341
legacy,9,2.3648556163700378e-07,0.001906365345597071
legacy,10,1.9244072549919334e-07,0.0019065577863225703
legacy,11,1.5826291196188653e-07,0.0019067160492345322
legacy,12,1.31154265506087e-07,0.0019068472035000384
legacy,13,1.0928662663650726e-07,0.001906956490126675
legacy,14,9.141791317483737e-08,0.0019070479080398497
legacy,15,7.667594644789697e-08,0.0019071245839862975
legacy,16,6.443016385109051e-08,0.0019071890141501486
legacy,17,5.4212237508384525e-08,0.001907243226387657
legacy,18,4.5665363762913515e-08,0.00190728889175142
legacy,19,3.85111096298524e-08,0.0019073274028610498
legacy,20,3.2527375488561346e-08,0.0019073599302365384
legacy,21,2.7533565040247922e-08,0.0019073874638015787
legacy,22,2.3380504573863032e-08,0.0019074108443061526
legacy,23,1.9943527259319542e-08,0.001907430787833412
legacy,24,1.711768469130291e-08,0.0019074479055181033
legacy,25,1.4814399182713625e-08,0.001907462719917286
legacy,26,1.2959100296696768e-08,0.0019074756790175827
legacy,27,1.1489541379030907e-08,0.0019074871685589617
legacy,28,1.0354593126603469e-08,0.0019074975231520882
legacy,29,9.513378529690441e-09,0.0019075070365306178
legacy,30,8.934658156585393e-09,0.0019075159711887744
legacy,31,8.596404493373322e-09,0.0019075245675932678
legacy,32,8.485524371641219e-09,0.0019075330531176395
legacy,33,8.59770320762421e-09,0.001907541650820847
legacy,34,8.937356375614643e-09,0.0019075505881772227
legacy,35,9.517683164244007e-09,0.0019075601058603868
legacy,36,1.0360828461831262e-08,0.0019075704666888487
legacy,37,1.1498167434965636e-08,0.0019075819648562836
legacy,38,1.2970740044057935e-08,0.0019075949355963277
legacy,39,1.482987689025268e-08,0.001907609765473218
legacy,40,1.713807813372408e-08,0.0019076269035513517
legacy,41,1.9970236838442622e-08,0.0019076468737881903
legacy,42,2.3415342513033858e-08,0.0019076702891307033
legacy,43,2.757886756001094e-08,0.0019076978679982634
legacy,44,3.2586140011636337e-08,0.001907730454138275
legacy,45,3.8587157098217044e-08,0.0019077690412953733
legacy,46,4.576352195397846e-08,0.0019078148048173272
legacy,47,5.433853202281933e-08,0.0019078691433493502
legacy,48,6.459198216174651e-08,0.001907933735331512
legacy,49,7.688208961103527e-08,0.001908010617421123
legacy,50,9.167832849227811e-08,0.0019081022957496154
legacy,51,1.096113323865834e-07,0.001908211907082002
legacy,52,1.3155035211788654e-07,0.0019083434574341197
legacy,53,1.5872719317716989e-07,0.0019085021846272968
legacy,54,1.929430508240878e-07,0.0019086951276781209
legacy,55,2.3693305722488864e-07,0.0019089320607353457
legacy,56,2.9505273136723007e-07,0.001909227113466713
legacy,57,3.7467357713847317e-07,0.0019096017870438515
legacy,58,4.892838894599854e-07,0.0019100910709333114
legacy,59,6.661833301500372e-07,0.0019107572542634613
legacy,60,9.689856647912834e-07,0.0019117262399282527
legacy,61,1.5850153982213996e-06,0.0019133112553264742
legacy,62,3.3945691469029165e-06,0.001916705824473377
legacy,63,0.00032584922573408194,0.002242555050207459
legacy,64,8.50976869597815e-09,0.0022425635599761552
legacy,65,1.0477309929817856e-08,0.002242574037286085
legacy,66,5.363502760366279e-05,0.0022962090648897477
legacy,67,8.888436688795845e-09,0.0022962179533264366
legacy,68,1.5490087993237302e-08,0.0022962334434144297
legacy,69,1.48548579225649e-06,0.0022977189292066862
legacy,70,8.552444067597218e-09,0.002297727481650754
legacy,71,0.00036603322931270737,0.002663760710963461
legacy,72,1.6136799949349342e-06,0.002665374390958396
legacy,73,4.070592870288971e-08,0.002665415096887099
legacy,74,1.5595566633356575e-08,0.0026654306924537323
legacy,75,1.063758171729368e-08,0.0026654413300354497
legacy,76,1.0547232990025343e-08,0.00266545187726844
legacy,77,2.8888051753144928e-06,0.0026683406824437542
legacy,78,9.79781166049915e-07,0.002669320463609804
legacy,79,4.987720849886546e-08,0.0026693703408183027
legacy,80,1.5187481079404826e-08,0.0026693855282993824
legacy,81,9.68043334880531e-09,0.0026693952087327314
legacy,82,8.624876161261267e-09,0.0026694038336088927
legacy,83,8.54118942917881e-09,0.002669412374798322
legacy,84,8.582851346106009e-09,0.0026694209576496684
legacy,85,1.0590416211526e-08,0.00266943154806588
legacy,86,1.3118065827384446e-08,0.002669444666131707
