setup,t,turnover
legacy,76,8.836209451634769e-08
legacy,77,0.001154250663494949
legacy,78,0.00039058962402370445
legacy,79,1.8386998756475537e-05
legacy,80,4.011530839440058e-06
legacy,81,1.2429665900703935e-06
legacy,82,1.0604412407910768e-07
legacy,83,1.5484208239213704e-07
legacy,84,4.092619768775174e-07
legacy,85,1.7921163446427135e-06
legacy,86,2.997324269365942e-06
legacy,87,0.3305187302242185
legacy,88,2.3223543135775238e-06
legacy,89,2.943136290789461e-07
legacy,90,0.028117265264888835
legacy,91,4.155018247020692e-06
legacy,92,7.274395747991491e-07
legacy,93,4.2333402128225117e-07
legacy,94,2.51005099133339e-06
legacy,95,0.2557558408585326
legacy,96,4.614432697863657e-06
legacy,97,4.816971116983204e-07
legacy,98,0.0253496558852227
legacy,99,2.6767298514640547e-06
legacy,100,1.3855797623141264e-07
legacy,101,1.673859886391904e-06
legacy,102,0.15879271247721707
legacy,103,1.193032004964678e-06
legacy,104,1.3663060247637304e-06
legacy,105,0.011392134416303518
legacy,106,1.4363755488355778e-06
legacy,107,1.11165180768924e-06
legacy,108,0.0182053415043352
legacy,109,1.4046651133359234e-06
legacy,110,1.007481679166089e-06
legacy,111,1.0350970505723645e-06
legacy,112,0.05229664588049068
legacy,113,1.5336183304404116e-06
legacy,114,3.0533017336686896e-07
legacy,115,5.280184740497074e-06
legacy,116,4.0697615250051555e-07
legacy,117,1.378185778000418e-06
legacy,118,0.1378026902452216
legacy,119,3.0851483775184985e-06
legacy,120,6.843798004974033e-07
legacy,121,0.004125678546683248
legacy,122,4.353302974047235e-06
legacy,123,3.9793548683997315e-07
legacy,124,0.15895213050952178
legacy,125,0.0014415309463839676
legacy,126,1.999718212879198e-05
legacy,127,5.263197829175059e-06
legacy,128,2.1940855308710816e-06
legacy,129,9.810710365626418e-07
legacy,130,4.7321458715443576e-07
legacy,131,0.00012086430536659143
legacy,132,9.024324382019e-05
legacy,133,6.589793329038474e-05
legacy,134,4.752292128117064e-05
legacy,135,3.345699020899928e-05
legacy,136,6.3215439673330875e-06
legacy,137,1.9544350169931057e-06
legacy,138,1.4388409644711109e-06
legacy,139,1.0217342156226827e-06
legacy,140,1.2775769692163763e-08
legacy,141,9.78103667698127e-07
legacy,142,3.486997800006275e-06
legacy,143,0.3553640559777232
legacy,144,2.4971394459449847e-06
legacy,145,4.0936070011543535e-07
legacy,146,7.350510958792356e-07
legacy,147,5.153017436143603e-06
legacy,148,8.603772035375989e-07
legacy,149,3.4323826264559543e-07
legacy,150,2.3716490997194306e-06
legacy,151,0.23434859757075624
legacy,152,5.159231882073678e-06
legacy,153,1.6348375163621753e-06
legacy,154,5.118913708745954e-07
legacy,155,0.0035955381378031948
