asset,setup,t,w
SPX,legacy,80,0.1222033326774019
SPX,legacy,81,0.12220271119410687
SPX,legacy,82,0.12220265817204476
SPX,legacy,83,0.12220273559308602
SPX,legacy,84,0.12220294022407441
SPX,legacy,85,0.12220383628224672
SPX,legacy,86,0.12220533494438136
SPX,legacy,87,0.2874647000564907
SPX,legacy,88,0.2874658612336474
SPX,legacy,89,0.287466008390462
SPX,legacy,90,0.3015246410229064
SPX,legacy,91,0.3015267185320299
SPX,legacy,92,0.3015270822518173
SPX,legacy,93,0.3015268705848067
SPX,legacy,94,0.301525615559311
SPX,legacy,95,0.1736476951300447
SPX,legacy,96,0.1736453879136958
SPX,legacy,97,0.17364514706513998
SPX,legacy,98,0.1609703191225286
SPX,legacy,99,0.1609689807576028
SPX,legacy,100,0.16096891147861478
SPX,legacy,101,0.16096974840855793
SPX,legacy,102,0.24036610464716648
SPX,legacy,103,0.24036670116316897
SPX,legacy,104,0.24036601801015658
SPX,legacy,105,0.2346699508020048
SPX,legacy,106,0.23466923261423045
SPX,legacy,107,0.23466978844013428
SPX,legacy,108,0.24377245919230184
SPX,legacy,109,0.2437731615248585
SPX,legacy,110,0.24377265778401894
SPX,legacy,111,0.24377317533254425
SPX,legacy,112,0.26992149827278955
SPX,legacy,113,0.2699222650819547
SPX,legacy,114,0.26992211241686803
SPX,legacy,115,0.26992475250923836
SPX,legacy,116,0.2699249559973146
SPX,legacy,117,0.26992426690442556
SPX,legacy,118,0.20102292178181477
SPX,legacy,119,0.20102137920762597
SPX,legacy,120,0.20102103701772578
SPX,legacy,121,0.19895819774438414
SPX,legacy,122,0.19895602109289715
SPX,legacy,123,0.1989558221251537
SPX,legacy,124,0.11947975687039283
SPX,legacy,125,0.11875899139720086
SPX,legacy,126,0.1187489928061365
SPX,legacy,127,0.11874636120722189
SPX,legacy,128,0.11874526416445642
SPX,legacy,129,0.11874477362893818
SPX,legacy,130,0.11874501023623169
SPX,legacy,131,0.11868457808354846
SPX,legacy,132,0.11863945646163833
SPX,legacy,133,0.11860650749499313
SPX,legacy,134,0.1185827460343526
SPX,legacy,135,0.11856601753924809
SPX,legacy,136,0.11856285676726434
SPX,legacy,137,0.11856187954975593
SPX,legacy,138,0.11856116012927365
SPX,legacy,139,0.11856064926216586
SPX,legacy,140,0.11856064287428095
SPX,legacy,141,0.11856113192611484
SPX,legacy,142,0.11856287542501481
SPX,legacy,143,0.29624490341387644
SPX,legacy,144,0.29624615198359944
SPX,legacy,145,0.29624635666394944
SPX,legacy,146,0.29624598913840156
SPX,legacy,147,0.29624856564711954
SPX,legacy,148,0.29624899583572134
SPX,legacy,149,0.29624882421659005
SPX,legacy,150,0.2962476383920402
SPX,legacy,151,0.17907333960666208
SPX,legacy,152,0.17907075999072108
SPX,legacy,153,0.17906994257196285
SPX,legacy,154,0.1790696866262774
SPX,legacy,155,0.1772719175573758
SPX,legacy,156,0.17726659465212458
SPX,legacy,157,0.17726577305144284
SPX,legacy,158,0.1772657386553824
SPX,legacy,159,0.12343541779388617
SPX,legacy,160,0.12322204926903858
SPX,legacy,161,0.12316809163887568
SPX,legacy,162,0.12316578338074809
SPX,legacy,163,0.12316524398194995
SPX,opt_base,1,0.5639799506636005
SPX,opt_base,2,0.5639808031282262
SPX,opt_base,3,0.5639832685485654
SPX,opt_base,4,0.5639872643940355
SPX,opt_base,5,0.5640183672156329
SPX,opt_base,6,0.5640468763063302
SPX,opt_base,7,0.5640478922337223
