asset,lambda,m,label,t,w
SPX,0.3,0.01,low_lambda_low_m,150,0.5589691424186121
SPX,0.3,0.01,low_lambda_low_m,151,0.4431668587261185
SPX,0.3,0.01,low_lambda_low_m,152,0.9999999809486471
SPX,0.3,0.01,low_lambda_low_m,153,0.6770911761397909
SPX,0.3,0.01,low_lambda_low_m,154,0.9999999910201001
SPX,0.3,0.01,low_lambda_low_m,155,0.7571589881239785
SPX,0.3,0.01,low_lambda_low_m,156,0.7413471065535852
SPX,0.3,0.01,low_lambda_low_m,157,0.8623317755501834
SPX,0.3,0.01,low_lambda_low_m,158,0.9999999648668024
SPX,0.3,0.01,low_lambda_low_m,159,0.9999999849539779
SPX,0.3,0.01,low_lambda_low_m,160,0.5084440776271247
SPX,0.3,0.01,low_lambda_low_m,161,0.6175028802121293
SPX,0.3,0.01,low_lambda_low_m,162,0.9999999051059492
SPX,0.3,0.01,low_lambda_low_m,163,0.7428759250744014
SPX,0.3,0.5,g_mean,1,0.4999999676402425
SPX,0.3,0.5,g_mean,2,0.49999996095571253
SPX,0.3,0.5,g_mean,3,0.10671046023867528
SPX,0.3,0.5,g_mean,4,0.1067104581465762
SPX,0.3,0.5,g_mean,5,0.1067104515013874
SPX,0.3,0.5,g_mean,6,0.10671047755330676
SPX,0.3,0.5,g_mean,7,0.16514924565072042
SPX,0.3,0.5,g_mean,8,0.16514920404730352
SPX,0.3,0.5,g_mean,9,0.16514920017471266
SPX,0.3,0.5,g_mean,10,0.1651491675520641
SPX,0.3,0.5,g_mean,11,0.1651491469276484
SPX,0.3,0.5,g_mean,12,0.16514913496188643
SPX,0.3,0.5,g_mean,13,0.16514911229032622
SPX,0.3,0.5,g_mean,14,0.16514911349781997
SPX,0.3,0.5,g_mean,15,0.165149112830589
SPX,0.3,0.5,g_mean,16,0.16514911554112954
SPX,0.3,0.5,g_mean,17,0.1651491578975977
SPX,0.3,0.5,g_mean,18,0.21384809603192123
SPX,0.3,0.5,g_mean,19,0.2138480965850246
SPX,0.3,0.5,g_mean,20,0.21384810852321542
SPX,0.3,0.5,g_mean,21,0.3240722172605427
SPX,0.3,0.5,g_mean,22,0.8173342891322021
SPX,0.3,0.5,g_mean,23,0.8173342950182894
SPX,0.3,0.5,g_mean,24,0.8173342914525451
SPX,0.3,0.5,g_mean,25,0.8173342998161917
SPX,0.3,0.5,g_mean,26,0.8173342987175346
SPX,0.3,0.5,g_mean,27,0.6510486835716974
SPX,0.3,0.5,g_mean,28,0.65104868865064
SPX,0.3,0.5,g_mean,29,0.6510486605964578
SPX,0.3,0.5,g_mean,30,0.7291820794283129
SPX,0.3,0.5,g_mean,31,0.7291820928356708
SPX,0.3,0.5,g_mean,32,0.7291819700742633
SPX,0.3,0.5,g_mean,33,0.7291819271569053
SPX,0.3,0.5,g_mean,34,0.729181920985705
SPX,0.3,0.5,g_mean,35,0.44332329056031694
SPX,0.3,0.5,g_mean,36,0.4433232934626952
SPX,0.3,0.5,g_mean,37,0.44332329143578
SPX,0.3,0.5,g_mean,38,0.443323294225017
SPX,0.3,0.5,g_mean,39,0.4433232984369566
SPX,0.3,0.5,g_mean,40,0.44332331159566185
SPX,0.3,0.5,g_mean,41,0.44332335001010137
SPX,0.3,0.5,g_mean,42,0.44332335032043224
SPX,0.3,0.5,g_mean,43,0.44332335497242226
SPX,0.3,0.5,g_mean,44,0.8588662457356768
SPX,0.3,0.5,g_mean,45,0.8588665514293283
SPX,0.3,0.5,g_mean,46,0.8199050031018437
SPX,0.3,0.5,g_mean,47,0.8199050030541996
SPX,0.3,0.5,g_mean,48,0.8199050011923472
SPX,0.3,0.5,g_mean,49,0.46078647246146215
SPX,0.3,0.5,g_mean,50,0.46078647390057154
SPX,0.3,0.5,g_mean,51,0.46078648129855665
SPX,0.3,0.5,g_mean,52,0.46078648302002156
SPX,0.3,0.5,g_mean,53,0.46078648902325103
SPX,0.3,0.5,g_mean,54,0.6710021405763378
SPX,0.3,0.5,g_mean,55,0.6710021446792349
SPX,0.3,0.5,g_mean,56,0.6947414064496111
SPX,0.3,0.5,g_mean,57,0.6947414105074438
SPX,0.3,0.5,g_mean,58,0.7467571622786254
SPX,0.3,0.5,g_mean,59,0.7467571702661612
SPX,0.3,0.5,g_mean,60,0.7467571715585076
SPX,0.3,0.5,g_mean,61,0.8114310852481247
SPX,0.3,0.5,g_mean,62,0.8114310808206588
SPX,0.3,0.5,g_mean,63,0.8114310631872764
SPX,0.3,0.5,g_mean,64,0.8114310609771519
SPX,0.3,0.5,g_mean,65,0.8114310502813352
SPX,0.3,0.5,g_mean,66,0.8114310340485161
SPX,0.3,0.5,g_mean,67,0.8114310363855582
SPX,0.3,0.5,g_mean,68,0.811431031188105
SPX,0.3,0.5,g_mean,69,0.8114310293236562
SPX,0.3,0.5,g_mean,70,0.304455435005394
SPX,0.3,0.5,g_mean,71,0.30445541711599106
SPX,0.3,0.5,g_mean,72,0.30445541923756897
SPX,0.3,0.5,g_mean,73,0.3459534642624439
SPX,0.3,0.5,g_mean,74,0.28775537161705794
SPX,0.3,0.5,g_mean,75,0.28775538323062305
SPX,0.3,0.5,g_mean,76,0.2877553784565623
SPX,0.3,0.5,g_mean,77,0.9999999841845432
SPX,0.3,0.5,g_mean,78,0.9999999883609797
SPX,0.3,0.5,g_mean,79,0.999999992711931
SPX,0.3,0.5,g_mean,80,0.999999989057472
SPX,0.3,0.5,g_mean,81,0.9999999820935421
SPX,0.3,0.5,g_mean,82,0.9999999505008629
SPX,0.3,0.5,g_mean,83,0.6289399454145913
SPX,0.3,0.5,g_mean,84,0.628939944095836
SPX,0.3,0.5,g_mean,85,0.6289399439234831
SPX,0.3,0.5,g_mean,86,0.6289399388149246
SPX,0.3,0.5,g_mean,87,0.628939930313521
SPX,0.3,0.5,g_mean,88,0.6289399314919771
SPX,0.3,0.5,g_mean,89,0.5175022810379689
SPX,0.3,0.5,g_mean,90,0.5175022863057281
SPX,0.3,0.5,g_mean,91,0.5183653263077949
SPX,0.3,0.5,g_mean,92,0.5183653519317828
SPX,0.3,0.5,g_mean,93,0.5984970315221182
SPX,0.3,0.5,g_mean,94,0.5984970422951912
SPX,0.3,0.5,g_mean,95,0.598497057186342
SPX,0.3,0.5,g_mean,96,0.9999997229829806
SPX,0.3,0.5,g_mean,97,0.9999999105932484
SPX,0.3,0.5,g_mean,98,0.9999999075807466
SPX,0.3,0.5,g_mean,99,0.9999999111560997
SPX,0.3,0.5,g_mean,100,0.9999998469493137
SPX,0.3,0.5,g_mean,101,0.9592974554856464
SPX,0.3,0.5,g_mean,102,0.9592974529540493
SPX,0.3,0.5,g_mean,103,0.9592974544644335
SPX,0.3,0.5,g_mean,104,0.9592973643596604
SPX,0.3,0.5,g_mean,105,0.8855130716857927
SPX,0.3,0.5,g_mean,106,0.8855130527963156
SPX,0.3,0.5,g_mean,107,0.885513052340184
SPX,0.3,0.5,g_mean,108,0.8855130508819237
SPX,0.3,0.5,g_mean,109,0.8855131015078288
SPX,0.3,0.5,g_mean,110,0.8855131093255093
SPX,0.3,0.5,g_mean,111,0.8855130893298052
SPX,0.3,0.5,g_mean,112,0.8855128602200684
